"","code_uhbr","name","abundance","date","method","community"
"1","TP_T_B3_R1","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"2","AF_C_B3_R3","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"3","TP_T_B2_R5","Acaridida",2,"17/04/2023","macfayden","micro_arthropodes"
"4","MC_C_B1_R1","Acaridida",73,"17/04/2023","macfayden","micro_arthropodes"
"5","MC_C_B1_R2","Acaridida",57,"17/04/2023","macfayden","micro_arthropodes"
"6","MC_C_B1_R3","Acaridida",89,"17/04/2023","macfayden","micro_arthropodes"
"7","MC_C_B1_R4","Acaridida",60,"17/04/2023","macfayden","micro_arthropodes"
"8","MC_C_B1_R5","Acaridida",70,"17/04/2023","macfayden","micro_arthropodes"
"9","TP_T_B1_R2","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"10","TP_T_B1_R4","Acaridida",3,"17/04/2023","macfayden","micro_arthropodes"
"11","TP_T_B1_R5","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"12","AF_C_B2_R1","Acaridida",37,"17/04/2023","macfayden","micro_arthropodes"
"13","AF_C_B2_R3","Acaridida",217,"17/04/2023","macfayden","micro_arthropodes"
"14","AF_C_B2_R4","Acaridida",97,"17/04/2023","macfayden","micro_arthropodes"
"15","AF_C_B2_R5","Acaridida",100,"17/04/2023","macfayden","micro_arthropodes"
"16","AF_C_B1_R2","Acaridida",17,"17/04/2023","macfayden","micro_arthropodes"
"17","AF_C_B1_R2","Acaridida",56,"17/04/2023","macfayden","micro_arthropodes"
"18","AF_C_B1_R2","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"19","AF_C_B1_R3","Acaridida",27,"17/04/2023","macfayden","micro_arthropodes"
"20","AF_C_B1_R4","Acaridida",18,"17/04/2023","macfayden","micro_arthropodes"
"21","AF_C_B1_R5","Acaridida",83,"17/04/2023","macfayden","micro_arthropodes"
"22","MC_C_B2_R2","Acaridida",4,"17/04/2023","macfayden","micro_arthropodes"
"23","MC_C_B3_R1","Acaridida",1,"17/04/2023","macfayden","micro_arthropodes"
"24","MC_C_B3_R3","Acaridida",12,"17/04/2023","macfayden","micro_arthropodes"
"25","MC_C_B3_R4","Acaridida",28,"17/04/2023","macfayden","micro_arthropodes"
"26","MC_C_B3_R5","Acaridida",4,"17/04/2023","macfayden","micro_arthropodes"
"27","AF_T_B2_R1","Gamasidae",4,"17/04/2023","macfayden","micro_arthropodes"
"28","AF_T_B2_R2","Gamasidae",3,"17/04/2023","macfayden","micro_arthropodes"
"29","AF_T_B2_R4","Gamasidae",9,"17/04/2023","macfayden","micro_arthropodes"
"30","TP_T_B2_R1","Gamasidae",1,"17/04/2023","macfayden","micro_arthropodes"
"31","TP_T_B2_R2","Gamasidae",1,"17/04/2023","macfayden","micro_arthropodes"
"32","TP_T_B2_R3","Gamasidae",9,"17/04/2023","macfayden","micro_arthropodes"
"33","TP_T_B2_R4","Gamasidae",1,"17/04/2023","macfayden","micro_arthropodes"
"34","TP_T_B2_R5","Gamasidae",1,"17/04/2023","macfayden","micro_arthropodes"
"35","TP_T_B1_R1","Gamasidae",2,"17/04/2023","macfayden","micro_arthropodes"
"36","TP_T_B3_R1","Gamasidae",26,"17/04/2023","macfayden","micro_arthropodes"
"37","TP_T_B3_R2","Gamasidae",19,"17/04/2023","macfayden","micro_arthropodes"
"38","TP_T_B3_R3","Gamasidae",32,"17/04/2023","macfayden","micro_arthropodes"
"39","TP_T_B3_R4","Gamasidae",25,"17/04/2023","macfayden","micro_arthropodes"
"40","AF_T_B3_R1","Gamasidae",34,"17/04/2023","macfayden","micro_arthropodes"
"41","AF_T_B3_R2","Gamasidae",41,"17/04/2023","macfayden","micro_arthropodes"
"42","AF_T_B3_R3","Gamasidae",36,"17/04/2023","macfayden","micro_arthropodes"
"43","AF_T_B3_R4","Gamasidae",23,"17/04/2023","macfayden","micro_arthropodes"
"44","AF_T_B3_R5","Gamasidae",37,"17/04/2023","macfayden","micro_arthropodes"
"45","AF_C_B3_R1","Gamasidae",1,"17/04/2023","macfayden","micro_arthropodes"
"46","AF_C_B3_R2","Gamasidae",33,"17/04/2023","macfayden","micro_arthropodes"
"47","AF_C_B3_R3","Gamasidae",93,"17/04/2023","macfayden","micro_arthropodes"
"48","AF_C_B3_R4","Gamasidae",27,"17/04/2023","macfayden","micro_arthropodes"
"49","AF_C_B3_R5","Gamasidae",22,"17/04/2023","macfayden","micro_arthropodes"
"50","AF_T_B1_R1","Gamasidae",43,"17/04/2023","macfayden","micro_arthropodes"
"51","AF_T_B1_R2","Gamasidae",59,"17/04/2023","macfayden","micro_arthropodes"
"52","AF_T_B1_R3","Gamasidae",20,"17/04/2023","macfayden","micro_arthropodes"
"53","AF_T_B1_R4","Gamasidae",25,"17/04/2023","macfayden","micro_arthropodes"
"54","AF_T_B1_R5","Gamasidae",31,"17/04/2023","macfayden","micro_arthropodes"
"55","AF_T_B2_R1","Gamasidae",41,"17/04/2023","macfayden","micro_arthropodes"
"56","AF_T_B2_R2","Gamasidae",128,"17/04/2023","macfayden","micro_arthropodes"
"57","AF_T_B2_R3","Gamasidae",112,"17/04/2023","macfayden","micro_arthropodes"
"58","AF_T_B2_R4","Gamasidae",35,"17/04/2023","macfayden","micro_arthropodes"
"59","AF_T_B2_R4","Gamasidae",68,"17/04/2023","macfayden","micro_arthropodes"
"60","TP_T_B2_R1","Gamasidae",42,"17/04/2023","macfayden","micro_arthropodes"
"61","TP_T_B2_R2","Gamasidae",29,"17/04/2023","macfayden","micro_arthropodes"
"62","TP_T_B2_R3","Gamasidae",55,"17/04/2023","macfayden","micro_arthropodes"
"63","TP_T_B2_R4","Gamasidae",29,"17/04/2023","macfayden","micro_arthropodes"
"64","TP_T_B2_R5","Gamasidae",18,"17/04/2023","macfayden","micro_arthropodes"
"65","MC_C_B1_R1","Gamasidae",43,"17/04/2023","macfayden","micro_arthropodes"
"66","MC_C_B1_R2","Gamasidae",84,"17/04/2023","macfayden","micro_arthropodes"
"67","MC_C_B1_R3","Gamasidae",67,"17/04/2023","macfayden","micro_arthropodes"
"68","MC_C_B1_R4","Gamasidae",46,"17/04/2023","macfayden","micro_arthropodes"
"69","MC_C_B1_R5","Gamasidae",80,"17/04/2023","macfayden","micro_arthropodes"
"70","TP_T_B1_R1","Gamasidae",53,"17/04/2023","macfayden","micro_arthropodes"
"71","TP_T_B1_R2","Gamasidae",46,"17/04/2023","macfayden","micro_arthropodes"
"72","TP_T_B1_R3","Gamasidae",42,"17/04/2023","macfayden","micro_arthropodes"
"73","TP_T_B1_R4","Gamasidae",58,"17/04/2023","macfayden","micro_arthropodes"
"74","TP_T_B1_R5","Gamasidae",20,"17/04/2023","macfayden","micro_arthropodes"
"75","AF_C_B2_R1","Gamasidae",28,"17/04/2023","macfayden","micro_arthropodes"
"76","AF_C_B2_R3","Gamasidae",30,"17/04/2023","macfayden","micro_arthropodes"
"77","AF_C_B2_R4","Gamasidae",16,"17/04/2023","macfayden","micro_arthropodes"
"78","AF_C_B2_R5","Gamasidae",17,"17/04/2023","macfayden","micro_arthropodes"
"79","AF_C_B1_R2","Gamasidae",37,"17/04/2023","macfayden","micro_arthropodes"
