"code_uhbr","finest_name","abundance","date","method","community"
"TP_T_B1_R1","Acrobeles",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Acrobeloides",328,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Aporcelaimidae",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Aprutides",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Cervidellus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Chiloplacus",197,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Eumonhystera",66,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Anaplectus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Plectus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Tylocephalus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Panagrolaimus",985,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Rhabditidae",263,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Rhabdolaimus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Prismatolaimus",197,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Aphelenchus",788,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Aphelenchoides",131,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Diphtherophora",66,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Mononchus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Microdorylaimus",66,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Nygolaimidae",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Discolaimus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Oxydirus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Eudorylaimus",66,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Pratylenchus",394,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Prodorylaimus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Helicotylenchus",66,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Trichodorus",0,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Tylenchorhynchus",3547,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Tylenchidae",1971,"17/04/2023","baermann","nematodes"
"TP_T_B1_R1","Mylonchulus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Acrobeles",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Acrobeloides",1259,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Aporcelaimidae",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Aprutides",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Cervidellus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Chiloplacus",360,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Eumonhystera",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Anaplectus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Plectus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Tylocephalus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Panagrolaimus",24103,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Rhabditidae",540,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Rhabdolaimus",0,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Prismatolaimus",180,"17/04/2023","baermann","nematodes"
"MC_C_B1_R1","Aphelenchus",3597,"17/04/2023","baermann","nematodes"
