"code_uhbr","finest_name","abundance","date","method","community"
"AF_C_B1_R1","Thecofilosea::Cluster_552",30,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Polymyxa::Cluster_1",2556,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thecofilosea::Cluster_2",5635,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thaumatomonadida::Cluster_3",1362,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Rhogostoma::Cluster_4",523,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Kraken::Cluster_5",120,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Spongospora sp.::Cluster_7",67,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thecofilosea::Cluster_8",279,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_9",56,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita globosa::Cluster_11",144,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercozoa::Cluster_12",93,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_14",46,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_15",82,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thaumatomonadida::Cluster_16",83,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thecofilosea::Cluster_18",29,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonas::Cluster_19",175,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonas::Cluster_728",31,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Rhogostoma::Cluster_20",178,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Rhogostoma::Cluster_21",374,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_22",53,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_24",90,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thaumatomonadida::Cluster_27",108,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Proleptomonas faecicola::Cluster_28",89,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Trinema::Cluster_30",113,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_31",108,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_34",87,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonadidae::Cluster_35",47,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Trinema lineare::Cluster_36",514,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercozoa::Cluster_37",86,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_38",49,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_41",573,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonadidae::Cluster_42",32,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonas parincurva::Cluster_43",28,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Thecofilosea::Cluster_44",42,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Glissomonadida::Cluster_46",94,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Novel Clade Gran-5::Cluster_815",39,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_48",367,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Eocercomonas::Cluster_49",84,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_1382",30,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Kraken::Cluster_52",58,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Bodomorpha sp.::Cluster_56",47,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercozoa::Cluster_57",124,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Glissomonadida::Cluster_112",33,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Glissomonadida::Cluster_58",59,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Proleptomonas::Cluster_114",166,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_62",27,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonas plasmodialis::Cluster_63",73,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Trinema lineare::Cluster_64",143,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_123",62,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonadidae::Cluster_124",93,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Athalamea environmental sample::Cluster_70",47,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonadidae::Cluster_125",74,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_71",49,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Heteromita::Cluster_126",82,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Euglyphida::Cluster_73",49,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercomonas directa::Cluster_128",30,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Cercozoa::Cluster_74",26,"17/04/2023","metabarcoding","protists"
"AF_C_B1_R1","Bodomorpha sp.::Cluster_129",46,"17/04/2023","metabarcoding","protists"
