Taxa	Acrobeles	Acrobeloides	Cervidellus	Chiloplacus	Eumonhystera	Plectus	Tylocephalus	Panagrolaimus	Rhabditidae	Rhabdolaimus	Prismatolaimus	Aphelenchus	Aphelenchoides	Mylonchulus	Mononchus	Discolaimus	Oxydirus	Eudorylaimus	Pratylenchus	Helicotylenchus	Trichodorus	Tylenchorhynchus	Tylenchidae
F1	0	6659	605	303	303	605	303	1513	1211	0	1211	4540	1816	303	0	0	0	0	1816	4540	0	9081	10897
C1	0	6373	0	0	303	0	0	6373	607	0	0	13049	1821	0	0	0	303	0	10621	303	0	607	4855
AF_A1	0	2848	356	0	1424	1068	712	0	0	356	2314	8899	356	0	0	356	0	0	1424	2136	0	0	12102
AF_C1	204	4076	0	611	204	0	408	6726	408	0	204	3873	6115	0	204	0	611	0	3057	204	0	408	2854
F2	0	5008	323	808	0	0	0	1131	1777	0	162	969	3877	0	162	0	0	0	3231	323	0	323	9370
C2	0	5233	872	872	0	0	0	47095	872	0	872	20931	27908	0	0	0	872	0	6977	0	0	0	12210
AF_A2	659	3516	0	0	0	0	0	659	440	0	220	2857	220	0	220	0	110	0	2637	1319	0	220	5494
AF_C2	506	3542	0	0	0	506	0	39978	5567	0	0	15182	6073	0	0	0	506	0	9615	0	0	0	2024
F3	146	3361	0	292	146	731	146	0	0	0	0	6722	146	0	146	146	0	0	1169	3654	0	0	5846
C3	0	22769	393	1963	393	0	0	4711	785	0	0	24339	3141	0	0	0	393	0	10599	393	393	0	3926
AF_A3	659	3458	165	494	0	823	329	494	494	0	1976	4446	0	0	165	0	0	165	5105	2964	0	0	4446
AF_C3	0	3343	0	1254	0	0	0	10866	418	0	0	33435	5015	0	0	0	0	418	4179	418	0	0	3343
