Reference_ADNid,usage,Bloc,control_watered,HABITAT,REP,TARGET,Extraction
23MET1942,AF,Bloc_1,C,Tree_line,Rep_1,ALL,P60
23MET1943,AF,Bloc_1,C,Crop,Rep_1,ALL,P60
23MET1944,AF,Bloc_1,C,Tree_line,Rep_2,ALL,P60
23MET1945,AF,Bloc_1,C,Crop,Rep_2,ALL,P60
23MET1946,AF,Bloc_1,C,Tree_line,Rep_3,ALL,P60
23MET1947,AF,Bloc_1,C,Crop,Rep_3,ALL,P60
23MET1948,AF,Bloc_1,C,Tree_line,Rep_4,ALL,P60
23MET1949,AF,Bloc_1,C,Crop,Rep_4,ALL,P60
23MET1950,AF,Bloc_1,C,Tree_line,Rep_5,ALL,P60
23MET1951,AF,Bloc_1,C,Crop,Rep_5,ALL,P60
23MET1952,F,Bloc_1,C,Tree_plantation,Rep_1,ALL,P60
23MET1953,F,Bloc_1,C,Tree_plantation,Rep_2,ALL,P60
23MET1954,F,Bloc_1,C,Tree_plantation,Rep_3,ALL,P60
23MET1955,F,Bloc_1,C,Tree_plantation,Rep_4,ALL,P60
23MET1956,F,Bloc_1,C,Tree_plantation,Rep_5,ALL,P60
23MET1957,C,Bloc_1,C,Crop,Rep_1,ALL,P60
23MET1958,C,Bloc_1,C,Crop,Rep_2,ALL,P60
23MET1959,C,Bloc_1,C,Crop,Rep_3,ALL,P60
23MET1960,C,Bloc_1,C,Crop,Rep_4,ALL,P60
23MET1961,C,Bloc_1,C,Crop,Rep_5,ALL,P60
23MET1962,AF,Bloc_2,C,Tree_line,Rep_1,ALL,P60
23MET1963,AF,Bloc_2,C,Crop,Rep_1,ALL,P60
23MET1964,AF,Bloc_2,C,Tree_line,Rep_2,ALL,P60
23MET1965,AF,Bloc_2,C,Crop,Rep_2,ALL,P60
23MET1966,AF,Bloc_2,C,Tree_line,Rep_3,ALL,P60
23MET1967,AF,Bloc_2,C,Crop,Rep_3,ALL,P60
23MET1968,AF,Bloc_2,C,Tree_line,Rep_4,ALL,P60
23MET1969,AF,Bloc_2,C,Crop,Rep_4,ALL,P60
23MET1970,AF,Bloc_2,C,Tree_line,Rep_5,ALL,P60
23MET1971,AF,Bloc_2,C,Crop,Rep_5,ALL,P60
23MET1972,F,Bloc_2,C,Tree_plantation,Rep_1,ALL,P60
23MET1973,F,Bloc_2,C,Tree_plantation,Rep_2,ALL,P60
23MET1974,F,Bloc_2,C,Tree_plantation,Rep_3,ALL,P60
23MET1975,F,Bloc_2,C,Tree_plantation,Rep_4,ALL,P60
23MET1976,F,Bloc_2,C,Tree_plantation,Rep_5,ALL,P60
23MET1977,C,Bloc_2,C,Crop,Rep_1,ALL,P60
23MET1978,C,Bloc_2,C,Crop,Rep_2,ALL,P60
23MET1979,C,Bloc_2,C,Crop,Rep_3,ALL,P60
23MET1980,C,Bloc_2,C,Crop,Rep_4,ALL,P60
23MET1981,C,Bloc_2,C,Crop,Rep_5,ALL,P60
23MET1982,AF,Bloc_3,C,Tree_line,Rep_1,ALL,P60
23MET1983,AF,Bloc_3,C,Crop,Rep_1,ALL,P60
23MET1984,AF,Bloc_3,C,Tree_line,Rep_2,ALL,P60
23MET1985,AF,Bloc_3,C,Crop,Rep_2,ALL,P60
23MET1986,AF,Bloc_3,C,Tree_line,Rep_3,ALL,P60
