queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";ECOCORE:00000019;herbivore;NA;gratin:rainford_hexapoda
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";ECOCORE:00000089;predator;NA;gratin:rainford_hexapoda
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";ECOCORE:00000015;fungivore;NA;gratin:rainford_hexapoda
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000512;microphytophage;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000061;microbivore;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";ECOCORE:00000015;fungivore;NA;gratin:rainford_hexapoda
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000512;microphytophage;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000061;microbivore;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";ECOCORE:00000054;decomposer;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";ECOCORE:00000055;detritivore;NA;gratin:rainford_hexapoda
Tenebrionidae;NA;Lagria hirta;"c(""NCBITaxon:296003"", ""NCBI:296003"", ""https://tree.opentreeoflife.org/opentree/ottol@874742"", ""GBIF:4454813"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Tenebrionidae;NA;Lagria hirta;"c(""NCBITaxon:296003"", ""NCBI:296003"", ""https://tree.opentreeoflife.org/opentree/ottol@874742"", ""GBIF:4454813"")";ECOCORE:00000019;herbivore;NA;gratin:gossner_arthropoda
Tenebrionidae;NA;Cteniopus sulphureus;"c(""NCBITaxon:442086"", ""NCBI:442086"", ""https://tree.opentreeoflife.org/opentree/ottol@533885"", ""GBIF:4454996"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Tenebrionidae;NA;Cteniopus sulphureus;"c(""NCBITaxon:442086"", ""NCBI:442086"", ""https://tree.opentreeoflife.org/opentree/ottol@533885"", ""GBIF:4454996"")";ECOCORE:00000019;herbivore;NA;gratin:gossner_arthropoda
Aphididae;NA;Myzus persicae;"c(""NCBITaxon:13164"", ""NCBI:13164"", ""GBIF:2076179"", ""https://tree.opentreeoflife.org/opentree/ottol@785522"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Aphididae;NA;Myzus persicae;"c(""NCBITaxon:13164"", ""NCBI:13164"", ""GBIF:2076179"", ""https://tree.opentreeoflife.org/opentree/ottol@785522"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Aphididae;NA;Aulacorthum solani;"c(""NCBITaxon:202456"", ""NCBI:202456"", ""GBIF:2076745"", ""https://tree.opentreeoflife.org/opentree/ottol@935701"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Aphididae;NA;Aulacorthum solani;"c(""NCBITaxon:202456"", ""NCBI:202456"", ""GBIF:2076745"", ""https://tree.opentreeoflife.org/opentree/ottol@935701"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Aphididae;NA;Rhopalosiphum padi;"c(""NCBITaxon:40932"", ""NCBI:40932"", ""GBIF:2069580"", ""https://tree.opentreeoflife.org/opentree/ottol@954228"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Aphididae;NA;Rhopalosiphum padi;"c(""NCBITaxon:40932"", ""NCBI:40932"", ""GBIF:2069580"", ""https://tree.opentreeoflife.org/opentree/ottol@954228"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";ECOCORE:00000045;symbiotroph;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";ECOCORE:00000146;parasite;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";SFWO:0000024;plant parasite;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";ECOCORE:00000019;herbivore;NA;gratin:rainford_hexapoda
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";ECOCORE:00000015;fungivore;NA;gratin:rainford_hexapoda
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000512;microphytophage;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000061;microbivore;NA;onto:implicit
Chrysomelidae;NA;Clytra laeviuscula;"c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Chrysomelidae;NA;Clytra laeviuscula;"c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")";ECOCORE:00000019;herbivore;NA;gratin:gossner_arthropoda
Chrysomelidae;NA;Cryptocephalus aureolus;"c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Chrysomelidae;NA;Cryptocephalus aureolus;"c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")";ECOCORE:00000019;herbivore;NA;gratin:gossner_arthropoda
Chrysomelidae;NA;Cryptocephalus flavipes;"c(""NCBITaxon:1091367"", ""NCBI:1091367"", ""https://tree.opentreeoflife.org/opentree/ottol@669165"", ""GBIF:6097755"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Chrysomelidae;NA;Cryptocephalus flavipes;"c(""NCBITaxon:1091367"", ""NCBI:1091367"", ""https://tree.opentreeoflife.org/opentree/ottol@669165"", ""GBIF:6097755"")";ECOCORE:00000019;herbivore;NA;gratin:gossner_arthropoda
