"","queryName","queryId","matchName","matchId","dietId","dietName","reference","graph"
"1","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"2","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000483","fungivorous","NA","onto:implicit"
"3","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000485","microbivorous","NA","onto:implicit"
"4","Chrysomelidae","NA","Chrysomelidae","c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")","SFWO:0000513","microphytophagous","NA","onto:implicit"
"5","Chrysomelidae","NA","Clytra laeviuscula","c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"6","Chrysomelidae","NA","Cryptocephalus aureolus","c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"7","Chrysomelidae","NA","Cryptocephalus flavipes","c(""NCBITaxon:1091367"", ""NCBI:1091367"", ""https://tree.opentreeoflife.org/opentree/ottol@669165"", ""GBIF:6097755"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"8","Chrysomelidae","NA","Cryptocephalus sericeus","c(""NCBITaxon:1091381"", ""NCBI:1091381"", ""https://tree.opentreeoflife.org/opentree/ottol@616241"", ""GBIF:6097745"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"9","Chrysomelidae","NA","Galeruca tanaceti","c(""NCBITaxon:428704"", ""NCBI:428704"", ""https://tree.opentreeoflife.org/opentree/ottol@387771"", ""GBIF:5752087"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"10","Chrysomelidae","NA","Cassida nebulosa","c(""NCBITaxon:1254966"", ""NCBI:1254966"", ""GBIF:4990525"", ""https://tree.opentreeoflife.org/opentree/ottol@943857"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"11","Chrysomelidae","NA","Longitarsus atricillus","c(""NCBITaxon:1383031"", ""NCBI:1383031"", ""https://tree.opentreeoflife.org/opentree/ottol@3370931"", ""GBIF:5752619"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"12","Chrysomelidae","NA","Altica helianthemi","c(""NCBITaxon:1390107"", ""NCBI:1390107"", ""GBIF:4462348"", ""https://tree.opentreeoflife.org/opentree/ottol@3371164"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"13","Chrysomelidae","NA","Longitarsus lycopi","c(""NCBITaxon:1425523"", ""NCBI:1425523"", ""https://tree.opentreeoflife.org/opentree/ottol@3370950"", ""GBIF:5752536"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"14","Chrysomelidae","NA","Cassida denticollis","c(""NCBITaxon:1425537"", ""NCBI:1425537"", ""GBIF:6097775"", ""https://tree.opentreeoflife.org/opentree/ottol@3371817"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"15","Chrysomelidae","NA","Cryptocephalus vittatus","c(""NCBITaxon:1425562"", ""NCBI:1425562"", ""https://tree.opentreeoflife.org/opentree/ottol@3373229"", ""GBIF:6097754"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"16","Chrysomelidae","NA","Dibolia occultans","c(""NCBITaxon:1425563"", ""NCBI:1425563"", ""GBIF:6097790"", ""https://tree.opentreeoflife.org/opentree/ottol@3371336"")","SFWO:0000484","herbivorous","NA","onto:implicit"
"17","Chrysomelidae","NA","Longitarsus melanocephalus","c(""NCBITaxon:1425582"", ""NCBI:1425582"", ""GBIF:5752499"", ""https://tree.opentreeoflife.org/opentree/ottol@3371008"")","SFWO:0000484","herbivorous","NA","onto:implicit"
