"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"1","Carabidae","NA","Abax parallelepipedus","c(""NCBITaxon:102642"", ""NCBI:102642"", ""https://tree.opentreeoflife.org/opentree/ottol@46221"", ""GBIF:5754772"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"2","Carabidae","NA","Abax parallelepipedus","c(""NCBITaxon:102642"", ""NCBI:102642"", ""https://tree.opentreeoflife.org/opentree/ottol@46221"", ""GBIF:5754772"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"3","Carabidae","NA","Abax parallelepipedus","c(""NCBITaxon:102642"", ""NCBI:102642"", ""https://tree.opentreeoflife.org/opentree/ottol@46221"", ""GBIF:5754772"")","SFWO:0000367","Coleoptera.herbivores.granivores","NA","onto:implicit"
"4","Carabidae","NA","Carabus hispanus","c(""NCBITaxon:102643"", ""NCBI:102643"", ""GBIF:4470627"", ""https://tree.opentreeoflife.org/opentree/ottol@46216"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"5","Carabidae","NA","Carabus hispanus","c(""NCBITaxon:102643"", ""NCBI:102643"", ""GBIF:4470627"", ""https://tree.opentreeoflife.org/opentree/ottol@46216"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"6","Carabidae","NA","Carabus lineatus","c(""NCBITaxon:102645"", ""NCBI:102645"", ""GBIF:4470622"", ""https://tree.opentreeoflife.org/opentree/ottol@46202"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"7","Carabidae","NA","Carabus olympiae","c(""NCBITaxon:102646"", ""NCBI:102646"", ""https://tree.opentreeoflife.org/opentree/ottol@46210"", ""GBIF:4470646"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"8","Carabidae","NA","Carabus olympiae","c(""NCBITaxon:102646"", ""NCBI:102646"", ""https://tree.opentreeoflife.org/opentree/ottol@46210"", ""GBIF:4470646"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"9","Carabidae","NA","Carabus rutilans","c(""NCBITaxon:102647"", ""NCBI:102647"", ""https://tree.opentreeoflife.org/opentree/ottol@46205"", ""GBIF:4470640"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"10","Carabidae","NA","Carabus rutilans","c(""NCBITaxon:102647"", ""NCBI:102647"", ""https://tree.opentreeoflife.org/opentree/ottol@46205"", ""GBIF:4470640"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"11","Carabidae","NA","Carabus rutilans","c(""NCBITaxon:102647"", ""NCBI:102647"", ""https://tree.opentreeoflife.org/opentree/ottol@46205"", ""GBIF:4470640"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"12","Carabidae","NA","Carabus rutilans","c(""NCBITaxon:102647"", ""NCBI:102647"", ""https://tree.opentreeoflife.org/opentree/ottol@46205"", ""GBIF:4470640"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"13","Carabidae","NA","Carabus splendens","c(""NCBITaxon:102649"", ""NCBI:102649"", ""https://tree.opentreeoflife.org/opentree/ottol@46226"", ""GBIF:4470615"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"14","Carabidae","NA","Carabus splendens","c(""NCBITaxon:102649"", ""NCBI:102649"", ""https://tree.opentreeoflife.org/opentree/ottol@46226"", ""GBIF:4470615"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"15","Carabidae","NA","Carabus splendens","c(""NCBITaxon:102649"", ""NCBI:102649"", ""https://tree.opentreeoflife.org/opentree/ottol@46226"", ""GBIF:4470615"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"16","Carabidae","NA","Carabus splendens","c(""NCBITaxon:102649"", ""NCBI:102649"", ""https://tree.opentreeoflife.org/opentree/ottol@46226"", ""GBIF:4470615"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"17","Carabidae","NA","Scarites","c(""NCBITaxon:60808"", ""NCBI:60808"", ""GBIF:11089289"", ""https://tree.opentreeoflife.org/opentree/ottol@804588"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"18","Carabidae","NA","Licinus punctatulus","c(""NCBITaxon:1068929"", ""NCBI:1068929"", ""https://tree.opentreeoflife.org/opentree/ottol@91557"", ""GBIF:4475846"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"19","Carabidae","NA","Molops","c(""NCBITaxon:106376"", ""NCBI:106376"", ""GBIF:5430930"", ""https://tree.opentreeoflife.org/opentree/ottol@829074"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"20","Carabidae","NA","Molops piceus","c(""NCBITaxon:106377"", ""NCBI:106377"", ""https://tree.opentreeoflife.org/opentree/ottol@829073"", ""GBIF:5754640"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"21","Carabidae","NA","Abax ovalis","c(""NCBITaxon:106379"", ""NCBI:106379"", ""https://tree.opentreeoflife.org/opentree/ottol@569590"", ""GBIF:5754770"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"22","Carabidae","NA","Abax ovalis","c(""NCBITaxon:106379"", ""NCBI:106379"", ""https://tree.opentreeoflife.org/opentree/ottol@569590"", ""GBIF:5754770"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"23","Carabidae","NA","Abax ovalis","c(""NCBITaxon:106379"", ""NCBI:106379"", ""https://tree.opentreeoflife.org/opentree/ottol@569590"", ""GBIF:5754770"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"24","Carabidae","NA","Percus patruelis","c(""NCBITaxon:106384"", ""NCBI:106384"", ""GBIF:5754686"", ""https://tree.opentreeoflife.org/opentree/ottol@555501"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"25","Carabidae","NA","Pterostichus niger","c(""NCBITaxon:106386"", ""NCBI:106386"", ""https://tree.opentreeoflife.org/opentree/ottol@555503"", ""GBIF:9314786"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"26","Carabidae","NA","Pterostichus niger","c(""NCBITaxon:106386"", ""NCBI:106386"", ""https://tree.opentreeoflife.org/opentree/ottol@555503"", ""GBIF:9314786"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"27","Carabidae","NA","Pterostichus niger","c(""NCBITaxon:106386"", ""NCBI:106386"", ""https://tree.opentreeoflife.org/opentree/ottol@555503"", ""GBIF:9314786"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"28","Carabidae","NA","Pterostichus niger","c(""NCBITaxon:106386"", ""NCBI:106386"", ""https://tree.opentreeoflife.org/opentree/ottol@555503"", ""GBIF:9314786"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"29","Carabidae","NA","Pterostichus niger","c(""NCBITaxon:106386"", ""NCBI:106386"", ""https://tree.opentreeoflife.org/opentree/ottol@555503"", ""GBIF:9314786"")","SFWO:0000366","Coleoptera.herbivores.rhizovores","NA","onto:implicit"
"30","Carabidae","NA","Licinus","c(""NCBITaxon:178243"", ""NCBI:178243"", ""GBIF:1037611"", ""https://tree.opentreeoflife.org/opentree/ottol@127447"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"31","Carabidae","NA","Dyschirius aeneus","c(""NCBITaxon:110016"", ""NCBI:110016"", ""https://tree.opentreeoflife.org/opentree/ottol@61016"", ""GBIF:5873525"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"32","Carabidae","NA","Dyschirius","c(""NCBITaxon:60815"", ""NCBI:60815"", ""https://tree.opentreeoflife.org/opentree/ottol@230593"", ""GBIF:5430894"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"33","Carabidae","NA","Nebria brevicollis","c(""NCBITaxon:110024"", ""NCBI:110024"", ""GBIF:1035578"", ""https://tree.opentreeoflife.org/opentree/ottol@686814"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"34","Carabidae","NA","Nebria brevicollis","c(""NCBITaxon:110024"", ""NCBI:110024"", ""GBIF:1035578"", ""https://tree.opentreeoflife.org/opentree/ottol@686814"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"35","Carabidae","NA","Omophron","c(""NCBITaxon:63888"", ""NCBI:63888"", ""GBIF:1037679"", ""https://tree.opentreeoflife.org/opentree/ottol@136421"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"36","Carabidae","NA","Harpalus","c(""NCBITaxon:41076"", ""NCBI:41076"", ""https://tree.opentreeoflife.org/opentree/ottol@413463"", ""GBIF:1035821"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"37","Carabidae","NA","Harpalus","c(""NCBITaxon:41076"", ""NCBI:41076"", ""https://tree.opentreeoflife.org/opentree/ottol@413463"", ""GBIF:1035821"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"38","Carabidae","NA","Harpalus","c(""NCBITaxon:41076"", ""NCBI:41076"", ""https://tree.opentreeoflife.org/opentree/ottol@413463"", ""GBIF:1035821"")","SFWO:0000367","Coleoptera.herbivores.granivores","NA","onto:implicit"
"39","Carabidae","NA","Harpalus","c(""NCBITaxon:41076"", ""NCBI:41076"", ""https://tree.opentreeoflife.org/opentree/ottol@413463"", ""GBIF:1035821"")","SFWO:0000366","Coleoptera.herbivores.rhizovores","NA","onto:implicit"
"40","Carabidae","NA","Carabus nitens","c(""NCBITaxon:114441"", ""NCBI:114441"", ""GBIF:4471071"", ""https://tree.opentreeoflife.org/opentree/ottol@344231"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"41","Carabidae","NA","Carabus nitens","c(""NCBITaxon:114441"", ""NCBI:114441"", ""GBIF:4471071"", ""https://tree.opentreeoflife.org/opentree/ottol@344231"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"42","Carabidae","NA","Carabus nitens","c(""NCBITaxon:114441"", ""NCBI:114441"", ""GBIF:4471071"", ""https://tree.opentreeoflife.org/opentree/ottol@344231"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"43","Carabidae","NA","Carabus nitens","c(""NCBITaxon:114441"", ""NCBI:114441"", ""GBIF:4471071"", ""https://tree.opentreeoflife.org/opentree/ottol@344231"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"44","Carabidae","NA","Carabus cancellatus","c(""NCBITaxon:114447"", ""NCBI:114447"", ""https://tree.opentreeoflife.org/opentree/ottol@344247"", ""GBIF:4470480"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"45","Carabidae","NA","Carabus cancellatus","c(""NCBITaxon:114447"", ""NCBI:114447"", ""https://tree.opentreeoflife.org/opentree/ottol@344247"", ""GBIF:4470480"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"46","Carabidae","NA","Cychrus attenuatus attenuatus","c(""NCBITaxon:1149136"", ""NCBI:1149136"", ""https://tree.opentreeoflife.org/opentree/ottol@1094932"", ""GBIF:9020390"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"47","Carabidae","NA","Cychrus attenuatus attenuatus","c(""NCBITaxon:1149136"", ""NCBI:1149136"", ""https://tree.opentreeoflife.org/opentree/ottol@1094932"", ""GBIF:9020390"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
"48","Carabidae","NA","Cychrus caraboides caraboides","c(""NCBITaxon:1149137"", ""NCBI:1149137"", ""https://tree.opentreeoflife.org/opentree/ottol@1094933"", ""GBIF:9044836"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"49","Carabidae","NA","Cychrus caraboides caraboides","c(""NCBITaxon:1149137"", ""NCBI:1149137"", ""https://tree.opentreeoflife.org/opentree/ottol@1094933"", ""GBIF:9044836"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"50","Carabidae","NA","Cychrus caraboides caraboides","c(""NCBITaxon:1149137"", ""NCBI:1149137"", ""https://tree.opentreeoflife.org/opentree/ottol@1094933"", ""GBIF:9044836"")","SFWO:0000370","Coleoptera.scavengers","NA","onto:implicit"
"51","Carabidae","NA","Cychrus caraboides","c(""NCBITaxon:230269"", ""NCBI:230269"", ""https://tree.opentreeoflife.org/opentree/ottol@722400"", ""GBIF:5753612"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"52","Carabidae","NA","Carabus","c(""NCBITaxon:41074"", ""NCBITaxon:119021"", ""GBIF:1036775"", ""https://tree.opentreeoflife.org/opentree/ottol@413468"", ""NCBI:119021"", ""NCBI:41074"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"53","Carabidae","NA","Carabus <genus>","NCBITaxon:41074","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"54","Carabidae","NA","Carabus linnaei","c(""NCBITaxon:1454666"", ""NCBI:1454666"", ""GBIF:4470927"", ""https://tree.opentreeoflife.org/opentree/ottol@3422963"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"55","Carabidae","NA","Carabus linnaei","c(""NCBITaxon:1454666"", ""NCBI:1454666"", ""GBIF:4470927"", ""https://tree.opentreeoflife.org/opentree/ottol@3422963"")","SFWO:0000368","Coleoptera.herbivores","NA","onto:implicit"
