queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";SFWO:0000512;microphytophage;NA;onto:implicit
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Cephalobidae;NA;Acrobeles;"c(""NCBITaxon:55786"", ""NCBI:55786"", ""GBIF:2283761"", ""https://tree.opentreeoflife.org/opentree/ottol@70807"")";SFWO:0000061;microbivore;NA;onto:implicit
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";SFWO:0000512;microphytophage;NA;onto:implicit
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Cephalobidae;NA;Cephalobus;"c(""NCBITaxon:70199"", ""NCBI:70199"", ""GBIF:2283209"", ""https://tree.opentreeoflife.org/opentree/ottol@562808"")";SFWO:0000061;microbivore;NA;onto:implicit
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";SFWO:0000512;microphytophage;NA;onto:implicit
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Cephalobidae;NA;Cervidellus;"c(""NCBITaxon:114856"", ""NCBI:114856"", ""https://tree.opentreeoflife.org/opentree/ottol@995143"", ""GBIF:2283730"")";SFWO:0000061;microbivore;NA;onto:implicit
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";SFWO:0000512;microphytophage;NA;onto:implicit
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Cephalobidae;NA;Acrobeloides;"c(""NCBITaxon:70201"", ""NCBI:70201"", ""GBIF:2283754"", ""https://tree.opentreeoflife.org/opentree/ottol@916323"")";SFWO:0000061;microbivore;NA;onto:implicit
Cephalobidae;NA;Eucephalobus;"c(""NCBITaxon:293678"", ""NCBI:293678"", ""GBIF:2283772"", ""https://tree.opentreeoflife.org/opentree/ottol@121850"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Eucephalobus;"c(""NCBITaxon:293678"", ""NCBI:293678"", ""GBIF:2283772"", ""https://tree.opentreeoflife.org/opentree/ottol@121850"")";SFWO:0000512;microphytophage;NA;onto:implicit
Cephalobidae;NA;Eucephalobus;"c(""NCBITaxon:293678"", ""NCBI:293678"", ""GBIF:2283772"", ""https://tree.opentreeoflife.org/opentree/ottol@121850"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Cephalobidae;NA;Eucephalobus;"c(""NCBITaxon:293678"", ""NCBI:293678"", ""GBIF:2283772"", ""https://tree.opentreeoflife.org/opentree/ottol@121850"")";SFWO:0000061;microbivore;NA;onto:implicit
Cephalobidae;NA;Heterocephalobus;"c(""NCBITaxon:293682"", ""NCBI:293682"", ""GBIF:2283752"", ""https://tree.opentreeoflife.org/opentree/ottol@438678"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Cephalobidae;NA;Heterocephalobus;"c(""NCBITaxon:293682"", ""NCBI:293682"", ""GBIF:2283752"", ""https://tree.opentreeoflife.org/opentree/ottol@438678"")";SFWO:0000512;microphytophage;NA;onto:implicit
