"","queryName","queryId","matchName","matchId","dietId","dietName","reference","graph"
"1","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"2","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000520","parasitic","NA","onto:implicit"
"3","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000527","pathogenic","NA","onto:implicit"
"4","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000529","plant-pathogenic","NA","onto:implicit"
"5","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"6","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000520","parasitic","NA","onto:implicit"
"7","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000527","pathogenic","NA","onto:implicit"
"8","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000529","plant-pathogenic","NA","onto:implicit"
"9","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000521","plant-parasitic","NA","onto:implicit"
"10","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"11","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000520","parasitic","NA","onto:implicit"
"12","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000527","pathogenic","NA","onto:implicit"
"13","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000529","plant-pathogenic","NA","onto:implicit"
"14","Humicola","NA","Humicola","c(""NCBITaxon:5526"", ""IF:8566"", ""NCBI:5526"", ""https://tree.opentreeoflife.org/opentree/ottol@888944"", ""GBIF:2573531"")","SFWO:0000481","saprotrophic","NA","onto:implicit"
"15","Robillarda","NA","Robillarda","c(""NCBITaxon:5468"", ""IF:22470"", ""GBIF:2587821"", ""NCBI:5468"", ""https://tree.opentreeoflife.org/opentree/ottol@458361"")","SFWO:0000481","saprotrophic","NA","onto:implicit"
"16","Didymella","NA","Didymella","c(""NCBITaxon:55170"", ""IF:1548"", ""GBIF:2566782"", ""NCBI:55170"", ""https://tree.opentreeoflife.org/opentree/ottol@335005"")","SFWO:0000489","symbiotrophic","NA","onto:implicit"
"17","Didymella","NA","Didymella","c(""NCBITaxon:55170"", ""IF:1548"", ""GBIF:2566782"", ""NCBI:55170"", ""https://tree.opentreeoflife.org/opentree/ottol@335005"")","SFWO:0000520","parasitic","NA","onto:implicit"
"18","Didymella","NA","Didymella","c(""NCBITaxon:55170"", ""IF:1548"", ""GBIF:2566782"", ""NCBI:55170"", ""https://tree.opentreeoflife.org/opentree/ottol@335005"")","SFWO:0000527","pathogenic","NA","onto:implicit"
