"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"1","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"2","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"3","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"4","Gibellulopsis","NA","Gibellulopsis","c(""NCBITaxon:398412"", ""IF:8331"", ""GBIF:2569087"", ""NCBI:398412"", ""https://tree.opentreeoflife.org/opentree/ottol@724689"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"5","Tylospora","NA","Tylospora","c(""NCBITaxon:84970"", ""IF:18702"", ""https://tree.opentreeoflife.org/opentree/ottol@485572"", ""NCBI:84970"", ""GBIF:2554300"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"6","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"7","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"8","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
"9","Alternaria","NA","Alternaria","c(""NCBITaxon:5598"", ""IF:7106"", ""https://tree.opentreeoflife.org/opentree/ottol@464790"", ""NCBI:5598"", ""GBIF:2616104"")","SFWO:0000418","Fungi.plant_pathogens","NA","onto:implicit"
"10","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000409","Fungi.pathotrophs","NA","onto:implicit"
"11","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000410","Fungi.all","NA","onto:implicit"
"12","Colletotrichum","NA","Colletotrichum","c(""NCBITaxon:5455"", ""IF:7737"", ""NCBI:5455"", ""https://tree.opentreeoflife.org/opentree/ottol@1085553"", ""GBIF:2563219"")","SFWO:0000412","Fungi.symbiotrophs","NA","onto:implicit"
