"","queryName","queryId","matchName","matchId","trophicGroupId","trophicGroupName","reference","graph"
"1","Anthaxia","NA","Anthaxia millefolii","c(""NCBITaxon:1587024"", ""NCBI:1587024"", ""GBIF:6545673"", ""https://tree.opentreeoflife.org/opentree/ottol@3415562"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"2","Anthaxia","NA","Anthaxia nitidula","c(""NCBITaxon:324817"", ""NCBI:324817"", ""GBIF:4431813"", ""https://tree.opentreeoflife.org/opentree/ottol@552596"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"3","Anthaxia","NA","Anthaxia nitidula","c(""NCBITaxon:324817"", ""NCBI:324817"", ""GBIF:4431813"", ""https://tree.opentreeoflife.org/opentree/ottol@552596"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"4","Onthophagus","NA","Onthophagus","c(""NCBITaxon:166331"", ""NCBI:166331"", ""GBIF:1089294"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"5","Onthophagus","NA","Onthophagus verticicornis","c(""NCBITaxon:1403723"", ""NCBI:1403723"", ""https://tree.opentreeoflife.org/opentree/ottol@3329067"", ""GBIF:1091163"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"6","Onthophagus","NA","Onthophagus verticicornis","c(""NCBITaxon:1403723"", ""NCBI:1403723"", ""https://tree.opentreeoflife.org/opentree/ottol@3329067"", ""GBIF:1091163"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"7","Onthophagus","NA","Onthophagus coenobita","c(""NCBITaxon:166347"", ""NCBI:166347"", ""GBIF:1091924"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"8","Onthophagus","NA","Onthophagus coenobita","c(""NCBITaxon:166347"", ""NCBI:166347"", ""GBIF:1091924"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"9","Onthophagus","NA","Onthophagus ovatus","c(""NCBITaxon:166356"", ""NCBI:166356"", ""GBIF:1091524"", ""https://tree.opentreeoflife.org/opentree/ottol@802588"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"10","Onthophagus","NA","Onthophagus ovatus","c(""NCBITaxon:166356"", ""NCBI:166356"", ""GBIF:1091524"", ""https://tree.opentreeoflife.org/opentree/ottol@802588"")","SFWO:0000369","Coleoptera.detritivores","NA","onto:implicit"
"11","Onthophagus","NA","Onthophagus ruficapillus","c(""NCBITaxon:166358"", ""NCBI:166358"", ""GBIF:1091462"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"12","Onthophagus","NA","Onthophagus similis","c(""NCBITaxon:166359"", ""NCBI:166359"", ""GBIF:1091191"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"13","Onthophagus","NA","Onthophagus taurus","c(""NCBITaxon:166361"", ""NCBI:166361"", ""GBIF:1091267"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"14","Onthophagus","NA","Onthophagus hecate hecate","c(""NCBITaxon:1845062"", ""NCBI:1845062"", ""GBIF:7201373"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"15","Onthophagus","NA","Onthophagus hecate","c(""NCBITaxon:377204"", ""NCBI:377204"", ""GBIF:1091997"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"16","Onthophagus","NA","Onthophagus nuchicornis","c(""NCBITaxon:476075"", ""NCBI:476075"", ""GBIF:1091565"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
"17","Onthophagus","NA","Onthophagus fracticornis","c(""NCBITaxon:990991"", ""NCBI:990991"", ""GBIF:1091378"")","SFWO:0000358","Coleoptera.all","NA","onto:implicit"
