"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"1","Anthaxia","NA","Anthaxia nitidula","c(""NCBITaxon:324817"", ""NCBI:324817"", ""GBIF:4431813"", ""https://tree.opentreeoflife.org/opentree/ottol@552596"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"2","Anthaxia","NA","Anthaxia nitidula","c(""NCBITaxon:324817"", ""NCBI:324817"", ""GBIF:4431813"", ""https://tree.opentreeoflife.org/opentree/ottol@552596"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"3","Anthaxia","NA","Anthaxia nitidula","c(""NCBITaxon:324817"", ""NCBI:324817"", ""GBIF:4431813"", ""https://tree.opentreeoflife.org/opentree/ottol@552596"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"4","Onthophagus","NA","Onthophagus verticicornis","c(""NCBITaxon:1403723"", ""NCBI:1403723"", ""https://tree.opentreeoflife.org/opentree/ottol@3329067"", ""GBIF:1091163"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"5","Onthophagus","NA","Onthophagus verticicornis","c(""NCBITaxon:1403723"", ""NCBI:1403723"", ""https://tree.opentreeoflife.org/opentree/ottol@3329067"", ""GBIF:1091163"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"6","Onthophagus","NA","Onthophagus verticicornis","c(""NCBITaxon:1403723"", ""NCBI:1403723"", ""https://tree.opentreeoflife.org/opentree/ottol@3329067"", ""GBIF:1091163"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"7","Onthophagus","NA","Onthophagus coenobita","c(""NCBITaxon:166347"", ""NCBI:166347"", ""GBIF:1091924"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"8","Onthophagus","NA","Onthophagus coenobita","c(""NCBITaxon:166347"", ""NCBI:166347"", ""GBIF:1091924"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"9","Onthophagus","NA","Onthophagus coenobita","c(""NCBITaxon:166347"", ""NCBI:166347"", ""GBIF:1091924"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"10","Onthophagus","NA","Onthophagus ovatus","c(""NCBITaxon:166356"", ""NCBI:166356"", ""GBIF:1091524"", ""https://tree.opentreeoflife.org/opentree/ottol@802588"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"11","Onthophagus","NA","Onthophagus ovatus","c(""NCBITaxon:166356"", ""NCBI:166356"", ""GBIF:1091524"", ""https://tree.opentreeoflife.org/opentree/ottol@802588"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"12","Onthophagus","NA","Onthophagus ovatus","c(""NCBITaxon:166356"", ""NCBI:166356"", ""GBIF:1091524"", ""https://tree.opentreeoflife.org/opentree/ottol@802588"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
