"","queryName","queryId","matchName","matchId","guildId","guildName","reference","graph"
"1","Dasytes","NA","Dasytes virens","c(""NCBITaxon:1587230"", ""NCBI:1587230"", ""GBIF:4449929"", ""https://tree.opentreeoflife.org/opentree/ottol@3356427"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"2","Dasytes","NA","Dasytes virens","c(""NCBITaxon:1587230"", ""NCBI:1587230"", ""GBIF:4449929"", ""https://tree.opentreeoflife.org/opentree/ottol@3356427"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"3","Dasytes","NA","Dasytes aeratus","c(""NCBITaxon:433036"", ""NCBI:433036"", ""GBIF:4449953"", ""https://tree.opentreeoflife.org/opentree/ottol@387619"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"4","Dasytes","NA","Dasytes aeratus","c(""NCBITaxon:433036"", ""NCBI:433036"", ""GBIF:4449953"", ""https://tree.opentreeoflife.org/opentree/ottol@387619"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"5","Dasytes","NA","Dasytes plumbeus","c(""NCBITaxon:433038"", ""NCBI:433038"", ""GBIF:4449948"", ""https://tree.opentreeoflife.org/opentree/ottol@387624"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"6","Dasytes","NA","Dasytes plumbeus","c(""NCBITaxon:433038"", ""NCBI:433038"", ""GBIF:4449948"", ""https://tree.opentreeoflife.org/opentree/ottol@387624"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"7","Anaspis","NA","Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"8","Anaspis","NA","Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"9","Anaspis","NA","Anaspis flava","c(""NCBITaxon:1553069"", ""NCBI:1553069"", ""https://tree.opentreeoflife.org/opentree/ottol@3357086"", ""GBIF:5750812"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"10","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"11","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"12","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"13","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"14","Anaspis","NA","Anaspis frontalis","c(""NCBITaxon:433021"", ""NCBI:433021"", ""https://tree.opentreeoflife.org/opentree/ottol@963793"", ""GBIF:5750877"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"15","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"16","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","ECOCORE:00000054","decomposer","NA","onto:implicit"
"17","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","ECOCORE:00000055","detritivore","NA","gratin:gossner_arthropoda"
"18","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","ECOCORE:00000088","carnivore","NA","gratin:gossner_arthropoda"
"19","Anaspis","NA","Anaspis rufilabris","c(""NCBITaxon:433025"", ""NCBI:433025"", ""https://tree.opentreeoflife.org/opentree/ottol@963802"", ""GBIF:5750811"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"20","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"21","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","SFWO:0000062","microorganism","NA","onto:implicit"
"22","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
"23","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","SFWO:0000009","exudativore","NA","onto:implicit"
"24","Plagiolepis","NA","Plagiolepis pygmaea","c(""NCBITaxon:72798"", ""NCBI:72798"", ""https://tree.opentreeoflife.org/opentree/ottol@63950"", ""GBIF:1320777"")","SFWO:0000020","honeydew feeder","NA","onto:implicit"
"25","Runcinia","NA","Runcinia","c(""NCBITaxon:486328"", ""NCBI:486328"", ""https://tree.opentreeoflife.org/opentree/ottol@945336"", ""GBIF:2165509"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"26","Runcinia","NA","Runcinia","c(""NCBITaxon:486328"", ""NCBI:486328"", ""https://tree.opentreeoflife.org/opentree/ottol@945336"", ""GBIF:2165509"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
"27","Runcinia","NA","Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"", ""GBIF:2165513"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"28","Runcinia","NA","Runcinia grammica","c(""NCBITaxon:2003129"", ""NCBI:2003129"", ""https://tree.opentreeoflife.org/opentree/ottol@3549740"", ""GBIF:2165513"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
"29","Piezodorus","NA","Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"30","Piezodorus","NA","Piezodorus lituratus","c(""NCBITaxon:305495"", ""NCBI:305495"", ""GBIF:2078821"", ""https://tree.opentreeoflife.org/opentree/ottol@682695"")","ECOCORE:00000019","herbivore","NA","gratin:gossner_arthropoda"
"31","Synema","NA","Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"32","Synema","NA","Synema globosum","c(""NCBITaxon:1112488"", ""NCBI:1112488"", ""https://tree.opentreeoflife.org/opentree/ottol@219969"", ""GBIF:5171516"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
"33","Synema","NA","Synema","c(""NCBITaxon:635342"", ""NCBI:635342"", ""https://tree.opentreeoflife.org/opentree/ottol@735737"", ""GBIF:2166255"")","ECOCORE:00000010","heterotroph","NA","onto:implicit"
"34","Synema","NA","Synema","c(""NCBITaxon:635342"", ""NCBI:635342"", ""https://tree.opentreeoflife.org/opentree/ottol@735737"", ""GBIF:2166255"")","ECOCORE:00000088","carnivore","NA","onto:implicit"
