"","queryName","queryId","matchName","matchId","interactionId","interactionName","resourceId","resourceName","reference","graph"
"1","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:3745","Rosaceae","NA","gratin:hedde_misc1"
"2","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:4070","Solanaceae","NA","gratin:hedde_misc1"
"3","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:3700","Brassicaceae","NA","gratin:hedde_misc1"
"4","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:4210","Asteraceae","NA","gratin:hedde_misc1"
"5","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:1804623","Chenopodiaceae","NA","gratin:hedde_misc1"
"6","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:4479","Poaceae","NA","gratin:hedde_misc1"
"7","Athous","NA","Athous","c(""NCBITaxon:116140"", ""NCBI:116140"", ""GBIF:3261301"", ""https://tree.opentreeoflife.org/opentree/ottol@412688"")","RO:0002470","eats","NCBI:4677","Liliaceae","NA","gratin:hedde_misc1"
"8","Tachyporus","NA","Tachyporus hypnorum","c(""NCBITaxon:346861"", ""NCBI:346861"", ""https://tree.opentreeoflife.org/opentree/ottol@641965"", ""GBIF:4438583"")","RO:0002470","eats","NCBI:4751","Fungi","NA","gratin:hedde_misc1"
"9","Trechus","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7088","Lepidoptera","NA","gratin:hedde_misc1"
"10","Trechus","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:30001","Collembola","NA","gratin:hedde_misc1"
"11","Trechus","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7055","Scarabaeidae","NA","gratin:hedde_misc1"
"12","Trechus","NA","Trechus","c(""NCBITaxon:60805"", ""NCBI:60805"", ""GBIF:1037288"", ""https://tree.opentreeoflife.org/opentree/ottol@804604"")","RO:0002470","eats","NCBI:7147","Diptera","NA","gratin:hedde_misc1"
