"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","Abia nitens","Metazoa","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia nitens","macrofauna_aerial"
"2","Acanthoscelides","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides","unassigned","macrofauna_aerial"
"3","Acrididae","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","unassigned","unassigned","macrofauna_aerial"
"4","Aglaostigma aucupariae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Aglaostigma","Aglaostigma aucupariae","macrofauna_aerial"
"5","Agriotes","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes","unassigned","macrofauna_aerial"
"6","Allograpta","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Allograpta","unassigned","macrofauna_aerial"
"7","Altica","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica","unassigned","macrofauna_aerial"
"8","Alticini","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_aerial"
"9","Alysiinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","macrofauna_aerial"
"10","Amara aenea","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara aenea","macrofauna_aerial"
"11","Ametastegia glabrata","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Ametastegia","Ametastegia glabrata","macrofauna_aerial"
"12","Anacharitinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Figitidae","unassigned","unassigned","macrofauna_aerial"
"13","Ancistrocerus","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Ancistrocerus","unassigned","macrofauna_aerial"
"14","Andrenidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Andrenidae","unassigned","unassigned","macrofauna_aerial"
"15","Anogcodes","Metazoa","Arthropoda","Insecta","Coleoptera","Oedemeridae","Anogcodes","unassigned","macrofauna_aerial"
"16","Anthaxia","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","unassigned","macrofauna_aerial"
"17","Anthaxia hungarica","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia hungarica","macrofauna_aerial"
"18","Anthaxia manca","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia manca","macrofauna_aerial"
