"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","Thripinae","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","unassigned","unassigned","macrofauna_foliar"
"2","Thrips","Metazoa","Arthropoda","Insecta","Thysanoptera","Thripidae","Thrips","unassigned","macrofauna_foliar"
"3","Hemiptera","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"4","Omophlus","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Omophlus","unassigned","macrofauna_foliar"
"5","Macrosiphoniella","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Macrosiphoniella","unassigned","macrofauna_foliar"
"6","Megabruchidius","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Megabruchidius","unassigned","macrofauna_foliar"
"7","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"8","Dasytes","Metazoa","Arthropoda","Insecta","Coleoptera","Melyridae","Dasytes","unassigned","macrofauna_foliar"
"9","Aphis craccivora","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Aphis craccivora","macrofauna_foliar"
"10","Anaspis","Metazoa","Arthropoda","Insecta","Coleoptera","Scraptiidae","Anaspis","unassigned","macrofauna_foliar"
"11","Ectopsocus","Metazoa","Arthropoda","Insecta","Psocoptera","Ectopsocidae","Ectopsocus","unassigned","macrofauna_foliar"
"12","Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae","unassigned","unassigned","macrofauna_foliar"
"13","Plagiolepis pygmaea","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Plagiolepis","Plagiolepis pygmaea","macrofauna_foliar"
"14","Chalcidoidea","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"15","Chloropidae","Metazoa","Arthropoda","Insecta","Diptera","Chloropidae","unassigned","unassigned","macrofauna_foliar"
"16","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_foliar"
"17","Bruchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_foliar"
"18","Runcinia grammica","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Runcinia","Runcinia grammica","macrofauna_foliar"
"19","Mirini","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","unassigned","unassigned","macrofauna_foliar"
"20","Cyclorrhapha","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_foliar"
"21","Piezodorus lituratus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Piezodorus","Piezodorus lituratus","macrofauna_foliar"
"22","Synema globosum","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Synema","Synema globosum","macrofauna_foliar"
"23","Berginus tamarisci","Metazoa","Arthropoda","Insecta","Coleoptera","Mycetophagidae","Berginus","Berginus tamarisci","macrofauna_foliar"
