"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","Harpalus distinguendus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus distinguendus","macrofauna_surface"
"2","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"3","Messor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor","unassigned","macrofauna_surface"
"4","Phaeocedus braccatus","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Phaeocedus","Phaeocedus braccatus","macrofauna_surface"
"5","Oligota","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oligota","unassigned","macrofauna_surface"
"6","Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","macrofauna_surface"
"7","Oxypoda","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxypoda","unassigned","macrofauna_surface"
"8","Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus","unassigned","macrofauna_surface"
"9","Araneae","Metazoa","Arthropoda","Arachnida","Araneae","unassigned","unassigned","unassigned","macrofauna_surface"
"10","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"11","Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"12","Leptaleus rodriguesi","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","Leptaleus","Leptaleus rodriguesi","macrofauna_surface"
"13","Atheta","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Atheta","unassigned","macrofauna_surface"
"14","Aleocharinae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","macrofauna_surface"
"15","Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","macrofauna_surface"
"16","Psocoptera","Metazoa","Arthropoda","Insecta","Psocoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"17","Alaobia scapularis","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Alaobia","Alaobia scapularis","macrofauna_surface"
"18","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"19","Harpalus dispar","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus dispar","macrofauna_surface"
"20","Atomaria","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria","unassigned","macrofauna_surface"
"21","Phalangiinae","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","unassigned","unassigned","macrofauna_surface"
"22","Chrysomelidae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_surface"
"23","Calathus fuscipes","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Calathus","Calathus fuscipes","macrofauna_surface"
"24","Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","macrofauna_surface"
"25","Athous","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Athous","unassigned","macrofauna_surface"
"26","Julidae","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","unassigned","unassigned","macrofauna_surface"
"27","Nitidulidae","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","unassigned","unassigned","macrofauna_surface"
"28","Lycosidae","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","unassigned","unassigned","macrofauna_surface"
"29","Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","macrofauna_surface"
"30","Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","macrofauna_surface"
"31","Gastropoda","Metazoa","Mollusca","Gastropoda","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"32","Epuraea ocularis","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Epuraea","Epuraea ocularis","macrofauna_surface"
"33","Tachyporus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachyporus","unassigned","macrofauna_surface"
