"","query","kingdom","phylum","class","order","family","genus","species","community"
"1","Oribatida","Metazoa","Arthropoda","Arachnida","Sarcoptiformes","unassigned","unassigned","unassigned","micro_arthropodes"
"2","Enchytraeidae","Metazoa","Annelida","Clitellata","Enchytraeida","Enchytraeidae","unassigned","unassigned","micro_arthropodes"
"3","Gnaphosidae","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","unassigned","unassigned","micro_arthropodes"
"4","Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","unassigned","unassigned","micro_arthropodes"
"5","Microctenonyx subitaneus","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Microctenonyx","Microctenonyx subitaneus","micro_arthropodes"
"6","Asagena","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Asagena","unassigned","micro_arthropodes"
"7","Ozyptila","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Ozyptila","unassigned","micro_arthropodes"
"8","Xysticus","Metazoa","Arthropoda","Arachnida","Araneae","Thomisidae","Xysticus","unassigned","micro_arthropodes"
"9","Zodarion","Metazoa","Arthropoda","Arachnida","Araneae","Zodariidae","Zodarion","unassigned","micro_arthropodes"
"10","Geophilomorpha","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"11","Lithobiomorpha","Metazoa","Arthropoda","Chilopoda","Lithobiomorpha","unassigned","unassigned","unassigned","micro_arthropodes"
"12","Anthicidae","Metazoa","Arthropoda","Insecta","Coleoptera","Anthicidae","unassigned","unassigned","micro_arthropodes"
"13","Carabidae","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","unassigned","unassigned","micro_arthropodes"
"14","Staphylinidae","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","unassigned","unassigned","micro_arthropodes"
"15","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera","unassigned","unassigned","unassigned","micro_arthropodes"
"16","Collembola","Metazoa","Arthropoda","Collembola","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"17","Dermaptera","Metazoa","Arthropoda","Insecta","Dermaptera","unassigned","unassigned","unassigned","micro_arthropodes"
"18","Diplopoda","Metazoa","Arthropoda","Diplopoda","unassigned","unassigned","unassigned","unassigned","micro_arthropodes"
"19","Diptera","Metazoa","Arthropoda","Insecta","Diptera","unassigned","unassigned","unassigned","micro_arthropodes"
"20","Aphidiidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","unassigned","unassigned","micro_arthropodes"
"21","Auchenorrhyncha","Metazoa","Arthropoda","Insecta","Hemiptera","unassigned","unassigned","unassigned","micro_arthropodes"
"22","Pheidole pallidula","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","Pheidole pallidula","micro_arthropodes"
"23","Tetramorium","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Tetramorium","unassigned","micro_arthropodes"
