"","query","kingdom","phylum","class","order","family","genus","species","community"
"2","Acrobeles","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles","unassigned","nematodes"
"4","Acrobeloides","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","unassigned","nematodes"
"6","Aporcelaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Aporcelaimidae","unassigned","unassigned","nematodes"
"8","Aprutides","Metazoa","Nematoda","Chromadorea","Rhabditida","Seinuridae","Aprutides","unassigned","nematodes"
"10","Cervidellus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Cervidellus","unassigned","nematodes"
"12","Chiloplacus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Chiloplacus","unassigned","nematodes"
"14","Eumonhystera","Metazoa","Nematoda","Chromadorea","Monhysterida","Monhysteridae","Eumonhystera","unassigned","nematodes"
"16","Anaplectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Anaplectus","unassigned","nematodes"
"18","Plectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Plectus","unassigned","nematodes"
"20","Tylocephalus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Tylocephalus","unassigned","nematodes"
"22","Panagrolaimus","Metazoa","Nematoda","Chromadorea","Rhabditida","Panagrolaimidae","Panagrolaimus","unassigned","nematodes"
"24","Rhabditidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae","unassigned","unassigned","nematodes"
"26","Rhabdolaimus","Metazoa","Nematoda","Enoplea","Enoplida","Rhabdolaimidae","Rhabdolaimus","unassigned","nematodes"
"28","Prismatolaimus","Metazoa","Nematoda","Enoplea","Triplonchida","Prismatolaimidae","Prismatolaimus","unassigned","nematodes"
"30","Aphelenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Aphelenchus","unassigned","nematodes"
"32","Aphelenchoides","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides","unassigned","nematodes"
"34","Diphtherophora","Metazoa","Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora","unassigned","nematodes"
"36","Mononchus","Metazoa","Nematoda","Enoplea","Mononchida","Mononchidae","Mononchus","unassigned","nematodes"
"38","Microdorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Microdorylaimus","unassigned","nematodes"
"40","Nygolaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Nygolaimidae","unassigned","unassigned","nematodes"
"42","Discolaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Discolaimus","unassigned","nematodes"
"44","Oxydirus","Metazoa","Nematoda","Enoplea","Dorylaimida","Belondiridae","Oxydirus","unassigned","nematodes"
"46","Eudorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Eudorylaimus","unassigned","nematodes"
"48","Pratylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Pratylenchidae","Pratylenchus","unassigned","nematodes"
"50","Prodorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Dorylaimidae","Prodorylaimus","unassigned","nematodes"
"52","Helicotylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Hoplolaimidae","Helicotylenchus","unassigned","nematodes"
"54","Trichodorus","Metazoa","Nematoda","Enoplea","Triplonchida","Trichodoridae","Trichodorus","unassigned","nematodes"
"56","Tylenchorhynchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","unassigned","nematodes"
"58","Tylenchidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Tylenchidae","unassigned","unassigned","nematodes"
"60","Mylonchulus","Metazoa","Nematoda","Enoplea","Mononchida","Mylonchulidae","Mylonchulus","unassigned","nematodes"
