"","code_uhbr","name","abundance","date","method","community"
"1","MC_C_B3_R3","Abia nitens",1,"04/2023","pan_trap","macrofauna_aerial"
"2","AF_T_B3_R5","Acanthoscelides",1,"03/2023","pan_trap","macrofauna_aerial"
"3","TP_T_B3_R2","Acrididae",1,"04/2023","pan_trap","macrofauna_aerial"
"4","TP_T_B1_R5","Aglaostigma aucupariae",1,"03/2023","pan_trap","macrofauna_aerial"
"5","TP_T_B2_R2","Aglaostigma aucupariae",2,"03/2023","pan_trap","macrofauna_aerial"
"6","AF_C_B2_R3","Aglaostigma aucupariae",1,"03/2023","pan_trap","macrofauna_aerial"
"7","MC_C_B2_R2","Agriotes",1,"04/2023","pan_trap","macrofauna_aerial"
"8","MC_C_B3_R1","Agriotes",1,"04/2023","pan_trap","macrofauna_aerial"
"9","TP_T_B1_R1","Agriotes",1,"04/2023","pan_trap","macrofauna_aerial"
"10","AF_T_B1_R2","Agriotes",1,"04/2023","pan_trap","macrofauna_aerial"
"11","AF_T_B2_R5","Agriotes",1,"04/2023","pan_trap","macrofauna_aerial"
"12","AF_C_B3_R4","Allograpta",1,"04/2023","pan_trap","macrofauna_aerial"
"13","AF_C_B1_R3","Altica",1,"03/2023","pan_trap","macrofauna_aerial"
"14","AF_C_B3_R5","Alticini",1,"03/2023","pan_trap","macrofauna_aerial"
"15","MC_C_B1_R4","Alticini",1,"04/2023","pan_trap","macrofauna_aerial"
"16","MC_C_B1_R5","Alticini",1,"04/2023","pan_trap","macrofauna_aerial"
"17","AF_T_B3_R4","Alticini",1,"04/2023","pan_trap","macrofauna_aerial"
"18","TP_T_B3_R4","Alysiinae",1,"03/2023","pan_trap","macrofauna_aerial"
"19","TP_T_B1_R2","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"20","TP_T_B1_R4","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"21","TP_T_B2_R3","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"22","TP_T_B2_R4","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"23","TP_T_B2_R5","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"24","AF_C_B1_R4","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"25","AF_T_B1_R5","Alysiini",1,"03/2023","pan_trap","macrofauna_aerial"
"26","TP_T_B2_R5","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"27","TP_T_B2_R5","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"28","TP_T_B2_R5","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"29","TP_T_B3_R1","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"30","TP_T_B3_R1","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"31","TP_T_B3_R2","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"32","TP_T_B3_R3","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"33","TP_T_B3_R3","Alysiini",1,"04/2023","pan_trap","macrofauna_aerial"
"34","TP_T_B2_R2","Amara aenea",1,"03/2023","pan_trap","macrofauna_aerial"
"35","MC_C_B2_R5","Amara aenea",1,"04/2023","pan_trap","macrofauna_aerial"
"36","TP_T_B2_R1","Amara aenea",1,"04/2023","pan_trap","macrofauna_aerial"
"37","AF_T_B2_R3","Ametastegia glabrata",1,"03/2023","pan_trap","macrofauna_aerial"
"38","AF_C_B3_R5","Ametastegia glabrata",1,"03/2023","pan_trap","macrofauna_aerial"
