"","code_uhbr","name","abundance","date","method","community"
"1","AF_T_B1_R1","Thripinae",121,"05/2023","inflorescence","macrofauna_foliar"
"2","AF_T_B1_R1","Thrips",17,"05/2023","inflorescence","macrofauna_foliar"
"3","AF_T_B1_R1","Hemiptera",1,"05/2023","inflorescence","macrofauna_foliar"
"4","AF_T_B1_R1","Omophlus",1,"05/2023","inflorescence","macrofauna_foliar"
"5","AF_T_B1_R1","Thripinae",91,"05/2023","inflorescence","macrofauna_foliar"
"6","AF_T_B1_R1","Thrips",2,"05/2023","inflorescence","macrofauna_foliar"
"7","AF_T_B1_R1","Macrosiphoniella",2,"05/2023","inflorescence","macrofauna_foliar"
"8","AF_T_B1_R1","Megabruchidius",1,"05/2023","inflorescence","macrofauna_foliar"
"9","AF_T_B1_R1","Hymenoptera",1,"05/2023","inflorescence","macrofauna_foliar"
"10","AF_T_B1_R1","Dasytes",1,"05/2023","inflorescence","macrofauna_foliar"
"11","AF_T_B1_R1","Aphis craccivora",20,"05/2023","inflorescence","macrofauna_foliar"
"12","AF_T_B1_R1","Thripinae",63,"05/2023","inflorescence","macrofauna_foliar"
"13","AF_T_B1_R1","Thrips",17,"05/2023","inflorescence","macrofauna_foliar"
"14","AF_T_B1_R1","Anaspis",1,"05/2023","inflorescence","macrofauna_foliar"
"15","AF_T_B1_R2","Aphis craccivora",26,"05/2023","inflorescence","macrofauna_foliar"
"16","AF_T_B1_R2","Thripinae",9,"05/2023","inflorescence","macrofauna_foliar"
"17","AF_T_B1_R2","Macrosiphoniella",1,"05/2023","inflorescence","macrofauna_foliar"
"18","AF_T_B1_R2","Hymenoptera",1,"05/2023","inflorescence","macrofauna_foliar"
"19","AF_T_B1_R2","Pterygota",1,"05/2023","inflorescence","macrofauna_foliar"
"20","AF_T_B1_R2","Ectopsocus",1,"05/2023","inflorescence","macrofauna_foliar"
"21","AF_T_B1_R2","Aphididae",1,"05/2023","inflorescence","macrofauna_foliar"
"22","AF_T_B1_R2","Aphis craccivora",5,"05/2023","inflorescence","macrofauna_foliar"
"23","AF_T_B1_R2","Thripinae",59,"05/2023","inflorescence","macrofauna_foliar"
"24","AF_T_B1_R2","Thrips",11,"05/2023","inflorescence","macrofauna_foliar"
"25","AF_T_B1_R2","Megabruchidius",1,"05/2023","inflorescence","macrofauna_foliar"
"26","AF_T_B1_R2","Omophlus",3,"05/2023","inflorescence","macrofauna_foliar"
"27","AF_T_B1_R2","Pterygota",1,"05/2023","inflorescence","macrofauna_foliar"
