"","code_uhbr","name","abundance","date","method","community"
"1","TP_T_B1_R1","Acrobeles",0,"04/2023","baermann","nematodes"
"2","TP_T_B1_R1","Acrobeloides",328,"04/2023","baermann","nematodes"
"3","TP_T_B1_R1","Aporcelaimidae",0,"04/2023","baermann","nematodes"
"4","TP_T_B1_R1","Aprutides",0,"04/2023","baermann","nematodes"
"5","TP_T_B1_R1","Cervidellus",0,"04/2023","baermann","nematodes"
"6","TP_T_B1_R1","Chiloplacus",197,"04/2023","baermann","nematodes"
"7","TP_T_B1_R1","Eumonhystera",66,"04/2023","baermann","nematodes"
"8","TP_T_B1_R1","Anaplectus",0,"04/2023","baermann","nematodes"
"9","TP_T_B1_R1","Plectus",0,"04/2023","baermann","nematodes"
"10","TP_T_B1_R1","Tylocephalus",0,"04/2023","baermann","nematodes"
"11","TP_T_B1_R1","Panagrolaimus",985,"04/2023","baermann","nematodes"
"12","TP_T_B1_R1","Rhabditidae",263,"04/2023","baermann","nematodes"
"13","TP_T_B1_R1","Rhabdolaimus",0,"04/2023","baermann","nematodes"
"14","TP_T_B1_R1","Prismatolaimus",197,"04/2023","baermann","nematodes"
"15","TP_T_B1_R1","Aphelenchus",788,"04/2023","baermann","nematodes"
"16","TP_T_B1_R1","Aphelenchoides",131,"04/2023","baermann","nematodes"
"17","TP_T_B1_R1","Diphtherophora",66,"04/2023","baermann","nematodes"
"18","TP_T_B1_R1","Mononchus",0,"04/2023","baermann","nematodes"
"19","TP_T_B1_R1","Microdorylaimus",66,"04/2023","baermann","nematodes"
"20","TP_T_B1_R1","Nygolaimidae",0,"04/2023","baermann","nematodes"
"21","TP_T_B1_R1","Discolaimus",0,"04/2023","baermann","nematodes"
"22","TP_T_B1_R1","Oxydirus",0,"04/2023","baermann","nematodes"
"23","TP_T_B1_R1","Eudorylaimus",66,"04/2023","baermann","nematodes"
"24","TP_T_B1_R1","Pratylenchus",394,"04/2023","baermann","nematodes"
"25","TP_T_B1_R1","Prodorylaimus",0,"04/2023","baermann","nematodes"
"26","TP_T_B1_R1","Helicotylenchus",66,"04/2023","baermann","nematodes"
"27","TP_T_B1_R1","Trichodorus",0,"04/2023","baermann","nematodes"
"28","TP_T_B1_R1","Tylenchorhynchus",3547,"04/2023","baermann","nematodes"
"29","TP_T_B1_R1","Tylenchidae",1971,"04/2023","baermann","nematodes"
