"","number","variable","community","level"
"1",33,"queryName from get.guilds output","macrofauna_surface","family"
"2",44,"guildName","macrofauna_surface","family"
"3",33,"queryName from get.diets output","macrofauna_surface","family"
"4",27,"dietName","macrofauna_surface","family"
"5",33,"queryName from get.trophic.groups output","macrofauna_surface","family"
"6",26,"trophicGroupName","macrofauna_surface","family"
"7",5,"queryName from get.interactions output","macrofauna_surface","family"
"8",2,"interactionName","macrofauna_surface","family"
"9",26,"resourceName","macrofauna_surface","family"
"10",67,"queryName from get.guilds output","macrofauna_aerial","family"
"11",48,"guildName","macrofauna_aerial","family"
"12",67,"queryName from get.diets output","macrofauna_aerial","family"
"13",30,"dietName","macrofauna_aerial","family"
"14",68,"queryName from get.trophic.groups output","macrofauna_aerial","family"
"15",30,"trophicGroupName","macrofauna_aerial","family"
"16",7,"queryName from get.interactions output","macrofauna_aerial","family"
"17",2,"interactionName","macrofauna_aerial","family"
"18",89,"resourceName","macrofauna_aerial","family"
"19",40,"queryName from get.guilds output","macrofauna_foliar","family"
"20",41,"guildName","macrofauna_foliar","family"
"21",40,"queryName from get.diets output","macrofauna_foliar","family"
"22",29,"dietName","macrofauna_foliar","family"
"23",40,"queryName from get.trophic.groups output","macrofauna_foliar","family"
"24",34,"trophicGroupName","macrofauna_foliar","family"
"25",5,"queryName from get.interactions output","macrofauna_foliar","family"
"26",2,"interactionName","macrofauna_foliar","family"
"27",20,"resourceName","macrofauna_foliar","family"
"28",20,"queryName from get.guilds output","nematodes","family"
"29",15,"guildName","nematodes","family"
"30",20,"queryName from get.diets output","nematodes","family"
"31",14,"dietName","nematodes","family"
"32",22,"queryName from get.trophic.groups output","nematodes","family"
"33",5,"trophicGroupName","nematodes","family"
"34",22,"queryName from get.interactions output","nematodes","family"
"35",3,"interactionName","nematodes","family"
"36",15,"resourceName","nematodes","family"
"37",19,"queryName from get.guilds output","micro_arthropodes","family"
"38",39,"guildName","micro_arthropodes","family"
"39",19,"queryName from get.diets output","micro_arthropodes","family"
"40",28,"dietName","micro_arthropodes","family"
"41",20,"queryName from get.trophic.groups output","micro_arthropodes","family"
"42",25,"trophicGroupName","micro_arthropodes","family"
"43",4,"queryName from get.interactions output","micro_arthropodes","family"
"44",2,"interactionName","micro_arthropodes","family"
"45",16,"resourceName","micro_arthropodes","family"
"46",89,"queryName from get.guilds output","bacteria","family"
"47",25,"guildName","bacteria","family"
"48",1,"queryName from get.diets output","bacteria","family"
"49",3,"dietName","bacteria","family"
"50",1,"queryName from get.trophic.groups output","bacteria","family"
"51",5,"trophicGroupName","bacteria","family"
"52",0,"queryName from get.interactions output","bacteria","family"
"53",0,"interactionName","bacteria","family"
"54",0,"resourceName","bacteria","family"
"55",188,"queryName from get.guilds output","fungi","family"
"56",49,"guildName","fungi","family"
"57",172,"queryName from get.diets output","fungi","family"
"58",31,"dietName","fungi","family"
"59",188,"queryName from get.trophic.groups output","fungi","family"
"60",38,"trophicGroupName","fungi","family"
"61",17,"queryName from get.interactions output","fungi","family"
"62",3,"interactionName","fungi","family"
"63",179,"resourceName","fungi","family"
"64",5,"queryName from get.guilds output","protists","family"
"65",17,"guildName","protists","family"
"66",5,"queryName from get.diets output","protists","family"
"67",10,"dietName","protists","family"
"68",5,"queryName from get.trophic.groups output","protists","family"
"69",4,"trophicGroupName","protists","family"
"70",3,"queryName from get.interactions output","protists","family"
"71",1,"interactionName","protists","family"
"72",7,"resourceName","protists","family"
