"","number","variable","community","level"
"1",67,"queryName from get.guilds output","macrofauna_surface","genus"
"2",24,"guildName","macrofauna_surface","genus"
"3",65,"queryName from get.diets output","macrofauna_surface","genus"
"4",19,"dietName","macrofauna_surface","genus"
"5",74,"queryName from get.trophic.groups output","macrofauna_surface","genus"
"6",24,"trophicGroupName","macrofauna_surface","genus"
"7",3,"queryName from get.interactions output","macrofauna_surface","genus"
"8",1,"interactionName","macrofauna_surface","genus"
"9",12,"resourceName","macrofauna_surface","genus"
"10",2,"queryName from get.guilds output","macrofauna_aerial","genus"
"11",3,"guildName","macrofauna_aerial","genus"
"12",2,"queryName from get.diets output","macrofauna_aerial","genus"
"13",1,"dietName","macrofauna_aerial","genus"
"14",2,"queryName from get.trophic.groups output","macrofauna_aerial","genus"
"15",2,"trophicGroupName","macrofauna_aerial","genus"
"16",0,"queryName from get.interactions output","macrofauna_aerial","genus"
"17",0,"interactionName","macrofauna_aerial","genus"
"18",0,"resourceName","macrofauna_aerial","genus"
"19",22,"queryName from get.guilds output","macrofauna_foliar","genus"
"20",15,"guildName","macrofauna_foliar","genus"
"21",21,"queryName from get.diets output","macrofauna_foliar","genus"
"22",11,"dietName","macrofauna_foliar","genus"
"23",27,"queryName from get.trophic.groups output","macrofauna_foliar","genus"
"24",17,"trophicGroupName","macrofauna_foliar","genus"
"25",0,"queryName from get.interactions output","macrofauna_foliar","genus"
"26",0,"interactionName","macrofauna_foliar","genus"
"27",0,"resourceName","macrofauna_foliar","genus"
"28",0,"queryName from get.guilds output","nematodes","genus"
"29",0,"guildName","nematodes","genus"
"30",0,"queryName from get.diets output","nematodes","genus"
"31",0,"dietName","nematodes","genus"
"32",0,"queryName from get.trophic.groups output","nematodes","genus"
"33",0,"trophicGroupName","nematodes","genus"
"34",0,"queryName from get.interactions output","nematodes","genus"
"35",0,"interactionName","nematodes","genus"
"36",0,"resourceName","nematodes","genus"
"37",0,"queryName from get.guilds output","micro_arthropodes","genus"
"38",0,"guildName","micro_arthropodes","genus"
"39",0,"queryName from get.diets output","micro_arthropodes","genus"
"40",0,"dietName","micro_arthropodes","genus"
"41",0,"queryName from get.trophic.groups output","micro_arthropodes","genus"
"42",0,"trophicGroupName","micro_arthropodes","genus"
"43",0,"queryName from get.interactions output","micro_arthropodes","genus"
"44",0,"interactionName","micro_arthropodes","genus"
"45",0,"resourceName","micro_arthropodes","genus"
"46",87,"queryName from get.guilds output","bacteria","genus"
"47",21,"guildName","bacteria","genus"
"48",1,"queryName from get.diets output","bacteria","genus"
"49",1,"dietName","bacteria","genus"
"50",1,"queryName from get.trophic.groups output","bacteria","genus"
"51",1,"trophicGroupName","bacteria","genus"
"52",0,"queryName from get.interactions output","bacteria","genus"
"53",0,"interactionName","bacteria","genus"
"54",0,"resourceName","bacteria","genus"
"55",442,"queryName from get.guilds output","fungi","genus"
"56",31,"guildName","fungi","genus"
"57",406,"queryName from get.diets output","fungi","genus"
"58",19,"dietName","fungi","genus"
"59",439,"queryName from get.trophic.groups output","fungi","genus"
"60",20,"trophicGroupName","fungi","genus"
"61",14,"queryName from get.interactions output","fungi","genus"
"62",3,"interactionName","fungi","genus"
"63",179,"resourceName","fungi","genus"
"64",31,"queryName from get.guilds output","protists","genus"
"65",19,"guildName","protists","genus"
"66",31,"queryName from get.diets output","protists","genus"
"67",13,"dietName","protists","genus"
"68",31,"queryName from get.trophic.groups output","protists","genus"
"69",5,"trophicGroupName","protists","genus"
"70",1,"queryName from get.interactions output","protists","genus"
"71",1,"interactionName","protists","genus"
"72",17,"resourceName","protists","genus"
