queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:3803;Fabaceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:4677;Liliaceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:4210;Asteraceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:1804623;Chenopodiaceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:4479;Poaceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:4070;Solanaceae;NA;gratin:hedde_misc1
Elateridae;NA;Agriotes;"c(""""NCBITaxon:292457"""", """"NCBI:292457"""", """"GBIF:1162125"""", """"https://tree.opentreeoflife.org/opentree/ottol@640462"""")";RO:0002470;eats;NCBI:3700;Brassicaceae;NA;gratin:hedde_misc1
Elateridae;NA;Elateridae;"c(""""NCBITaxon:30009"""", """"NCBI:30009"""", """"https://tree.opentreeoflife.org/opentree/ottol@506408"""", """"GBIF:7825"""")";RO:0002470;eats;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Elateridae;NA;Athous;"c(""""NCBITaxon:116140"""", """"NCBI:116140"""", """"GBIF:3261301"""", """"https://tree.opentreeoflife.org/opentree/ottol@412688"""")";RO:0002470;eats;NCBI:3745;Rosaceae;NA;gratin:hedde_misc1
Elateridae;NA;Athous;"c(""""NCBITaxon:116140"""", """"NCBI:116140"""", """"GBIF:3261301"""", """"https://tree.opentreeoflife.org/opentree/ottol@412688"""")";RO:0002470;eats;NCBI:4070;Solanaceae;NA;gratin:hedde_misc1
