queryName;queryId;matchName;matchId;trophicGroupId;trophicGroupName;reference;graph
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas seravini;"c(""NCBITaxon:188939"", ""NCBI:188939"", ""https://tree.opentreeoflife.org/opentree/ottol@592137"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastix;"c(""NCBITaxon:188975"", ""NCBI:188975"", ""https://tree.opentreeoflife.org/opentree/ottol@696937"", ""GBIF:3194422"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Protaspis grandis;"c(""NCBITaxon:361427"", ""NCBI:361427"", ""https://tree.opentreeoflife.org/opentree/ottol@667704"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Peregrinia clavideferens;"c(""NCBITaxon:981321"", ""NCBI:981321"", ""https://tree.opentreeoflife.org/opentree/ottol@149865"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonadidae;https://tree.opentreeoflife.org/opentree/ottol@4918143;SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Sphenoderia;"c(""NCBITaxon:1427720"", ""NCBI:1427720"", ""https://tree.opentreeoflife.org/opentree/ottol@4005303"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Sphenoderia;"c(""NCBITaxon:1427720"", ""NCBI:1427720"", ""https://tree.opentreeoflife.org/opentree/ottol@4005303"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
Euglyphida;NA;Euglyphida;"c(""NCBITaxon:178369"", ""NCBI:178369"", ""https://tree.opentreeoflife.org/opentree/ottol@300618"")";SFWO:0000268;protists.heterotrophs;NA;onto:implicit
Euglyphida;NA;Euglyphida;"c(""NCBITaxon:178369"", ""NCBI:178369"", ""https://tree.opentreeoflife.org/opentree/ottol@300618"")";SFWO:0000270;protists.testate_amoebae;NA;onto:implicit
