queryName;queryId;matchName;matchId;guildId;guildName;reference;graph
Thaumatomonadida;NA;Thaumatomonadida;"c(""NCBITaxon:188944"", ""NCBI:188944"", ""https://tree.opentreeoflife.org/opentree/ottol@122819"")";SFWO:0000062;microorganism;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonadida;"c(""NCBITaxon:188944"", ""NCBI:188944"", ""https://tree.opentreeoflife.org/opentree/ottol@122819"")";SFWO:0000064;protist;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";SFWO:0000512;microphytophage;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";SFWO:0000062;microorganism;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";ECOCORE:00000098;bacterivore;NA;gratin:fioredonno_cercozoa
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";SFWO:0000064;protist;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";SFWO:0000061;microbivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas;"c(""NCBITaxon:45099"", ""NCBI:45099"", ""https://tree.opentreeoflife.org/opentree/ottol@666118"", ""GBIF:4884925"")";ECOCORE:00000098;bacterivore;NA;gratin:giachello_protista
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000019;herbivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000062;microorganism;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000064;protist;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000027;bryophage;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000061;microbivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000065;protistivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000512;microphytophage;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000098;bacterivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000061;microbivore;NA;gratin:giachello_protista
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000088;carnivore;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000089;predator;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";SFWO:0000063;omnivore;NA;gratin:giachello_protista
Thaumatomonadida;NA;Thaumatomastigidae;"c(""NCBITaxon:45098"", ""NCBI:45098"")";ECOCORE:00000098;bacterivore;NA;gratin:giachello_protista
Thaumatomonadida;NA;Thaumatomonas seravini;"c(""NCBITaxon:188939"", ""NCBI:188939"", ""https://tree.opentreeoflife.org/opentree/ottol@592137"")";ECOCORE:00000010;heterotroph;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas seravini;"c(""NCBITaxon:188939"", ""NCBI:188939"", ""https://tree.opentreeoflife.org/opentree/ottol@592137"")";SFWO:0000512;microphytophage;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas seravini;"c(""NCBITaxon:188939"", ""NCBI:188939"", ""https://tree.opentreeoflife.org/opentree/ottol@592137"")";SFWO:0000062;microorganism;NA;onto:implicit
Thaumatomonadida;NA;Thaumatomonas seravini;"c(""NCBITaxon:188939"", ""NCBI:188939"", ""https://tree.opentreeoflife.org/opentree/ottol@592137"")";ECOCORE:00000098;bacterivore;NA;gratin:fioredonno_cercozoa
