queryName;queryId;matchName;matchId;dietId;dietName;reference;graph
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000484;herbivorous;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000477;carnivorous;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000491;predaceous;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000483;fungivorous;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000485;microbivorous;NA;onto:implicit
Thripidae;NA;Thripidae;"c(""NCBITaxon:45053"", ""NCBI:45053"", ""GBIF:4387"", ""https://tree.opentreeoflife.org/opentree/ottol@626752"")";SFWO:0000513;microphytophagous;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000483;fungivorous;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000485;microbivorous;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000513;microphytophagous;NA;onto:implicit
Tenebrionidae;NA;Tenebrionidae;"c(""NCBITaxon:7065"", ""NCBI:7065"", ""https://tree.opentreeoflife.org/opentree/ottol@1093476"", ""GBIF:7857"")";SFWO:0000479;detritivorous;NA;onto:implicit
Tenebrionidae;NA;Lagria hirta;"c(""NCBITaxon:296003"", ""NCBI:296003"", ""https://tree.opentreeoflife.org/opentree/ottol@874742"", ""GBIF:4454813"")";SFWO:0000484;herbivorous;NA;onto:implicit
Tenebrionidae;NA;Cteniopus sulphureus;"c(""NCBITaxon:442086"", ""NCBI:442086"", ""https://tree.opentreeoflife.org/opentree/ottol@533885"", ""GBIF:4454996"")";SFWO:0000484;herbivorous;NA;onto:implicit
Aphididae;NA;Myzus persicae;"c(""NCBITaxon:13164"", ""NCBI:13164"", ""GBIF:2076179"", ""https://tree.opentreeoflife.org/opentree/ottol@785522"")";SFWO:0000484;herbivorous;NA;onto:implicit
Aphididae;NA;Aulacorthum solani;"c(""NCBITaxon:202456"", ""NCBI:202456"", ""GBIF:2076745"", ""https://tree.opentreeoflife.org/opentree/ottol@935701"")";SFWO:0000484;herbivorous;NA;onto:implicit
Aphididae;NA;Rhopalosiphum padi;"c(""NCBITaxon:40932"", ""NCBI:40932"", ""GBIF:2069580"", ""https://tree.opentreeoflife.org/opentree/ottol@954228"")";SFWO:0000484;herbivorous;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";SFWO:0000489;symbiotrophic;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";SFWO:0000520;parasitic;NA;onto:implicit
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";SFWO:0000521;plant-parasitic;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000484;herbivorous;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000483;fungivorous;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000485;microbivorous;NA;onto:implicit
Chrysomelidae;NA;Chrysomelidae;"c(""NCBITaxon:27439"", ""NCBI:27439"", ""https://tree.opentreeoflife.org/opentree/ottol@567698"", ""GBIF:7780"")";SFWO:0000513;microphytophagous;NA;onto:implicit
Chrysomelidae;NA;Clytra laeviuscula;"c(""NCBITaxon:1075297"", ""NCBI:1075297"", ""https://tree.opentreeoflife.org/opentree/ottol@447125"", ""GBIF:4462027"")";SFWO:0000484;herbivorous;NA;onto:implicit
Chrysomelidae;NA;Cryptocephalus aureolus;"c(""NCBITaxon:1091351"", ""NCBI:1091351"", ""https://tree.opentreeoflife.org/opentree/ottol@146508"", ""GBIF:6097760"")";SFWO:0000484;herbivorous;NA;onto:implicit
