"","query","kingdom","phylum","class","order","family","genus","species"
"20","Alysiini",NA,NA,NA,NA,NA,NA,NA
"38","Anthaxia cyanescens",NA,NA,NA,NA,NA,NA,NA
"44","Anthaxia nigritula",NA,NA,NA,NA,NA,NA,NA
"46","Anthomalachius spinosus",NA,NA,NA,NA,NA,NA,NA
"48","Anthophila",NA,NA,NA,NA,NA,NA,NA
"110","Carcharodina",NA,NA,NA,NA,NA,NA,NA
"150","Cirrospilini",NA,NA,NA,NA,NA,NA,NA
"168","Cordicomus instabilis",NA,NA,NA,NA,NA,NA,NA
"184","Dacnusini",NA,NA,NA,NA,NA,NA,NA
"188","Dasytini",NA,NA,NA,NA,NA,NA,NA
"206","Dipogon variegatus",NA,NA,NA,NA,NA,NA,NA
"218","Endomia",NA,NA,NA,NA,NA,NA,NA
"220","Epimeces",NA,NA,NA,NA,NA,NA,NA
"250","Fenusini",NA,NA,NA,NA,NA,NA,NA
"262","Haltichellini",NA,NA,NA,NA,NA,NA,NA
"348","Onthophagus emarginatus",NA,NA,NA,NA,NA,NA,NA
"394","Pieris",NA,NA,NA,NA,NA,NA,NA
"424","Psilothrix viridicoerulea",NA,NA,NA,NA,NA,NA,NA
"434","Pteromalini",NA,NA,NA,NA,NA,NA,NA
"538","Xenomerus",NA,NA,NA,NA,NA,NA,NA
