"","db","query","kingdom","phylum","class","order","family","genus","species"
"1","itis","Harpalus distinguendus",NA,NA,NA,NA,NA,NA,NA
"2","ncbi","Harpalus distinguendus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus distinguendus"
"3","itis","Hymenoptera","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"4","ncbi","Hymenoptera","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"5","itis","Messor","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor",NA
"6","ncbi","Messor","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Messor",NA
"7","itis","Phaeocedus braccatus","Animalia","Arthropoda","Euchelicerata","Araneae","Gnaphosidae","Phaeocedus","Phaeocedus braccatus"
"8","ncbi","Phaeocedus braccatus","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Phaeocedus","Phaeocedus braccatus"
"9","itis","Oxytelini",NA,NA,NA,NA,NA,NA,NA
"10","ncbi","Oxytelini",NA,NA,NA,NA,NA,NA,NA
"11","itis","Oligota","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oligota",NA
"12","ncbi","Oligota","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oligota",NA
"13","itis","Linyphiidae","Animalia","Arthropoda","Euchelicerata","Araneae","Linyphiidae",NA,NA
"14","ncbi","Linyphiidae","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA
"15","itis","Oxypoda","Animalia","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxypoda",NA
"16","ncbi","Oxypoda","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Oxypoda",NA
"17","itis","Carpophilus","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus",NA
"18","ncbi","Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus",NA
"19","itis","Araneae","Animalia","Arthropoda","Euchelicerata","Araneae",NA,NA,NA
"20","ncbi","Araneae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
