"","query","kingdom","phylum","class","order","family","genus","species"
"10","Oxytelini",NA,NA,NA,NA,NA,NA,NA
"42","Philonthina",NA,NA,NA,NA,NA,NA,NA
"58","Gnaphosoidea",NA,NA,NA,NA,NA,NA,NA
"62","Lathrobiina",NA,NA,NA,NA,NA,NA,NA
"78","Hirticomus",NA,NA,NA,NA,NA,NA,NA
"180","Cataglyphis pallidula",NA,NA,NA,NA,NA,NA,NA
"190","Anchicera",NA,NA,NA,NA,NA,NA,NA
"227","Pangus scaritides",NA,NA,NA,NA,NA,NA,NA
"245","Priocnemis propinqua",NA,NA,NA,NA,NA,NA,NA
"281","Agalliina",NA,NA,NA,NA,NA,NA,NA
"283","Paralimnina",NA,NA,NA,NA,NA,NA,NA
"309","Nitidulini",NA,NA,NA,NA,NA,NA,NA
"355","Geotomini",NA,NA,NA,NA,NA,NA,NA
"363","Thomisinae",NA,NA,NA,NA,NA,NA,NA
"367","Pteromalini",NA,NA,NA,NA,NA,NA,NA
"433","Chlaenius decipiens",NA,NA,NA,NA,NA,NA,NA
"435","Rhyssemina",NA,NA,NA,NA,NA,NA,NA
"437","Thomisoidea",NA,NA,NA,NA,NA,NA,NA
