"","name"
"1","Acaridida"
"2","Gamasidae"
"3","Oribatida"
"4","Enchytraeidae"
"5","Gnaphosa alacris"
"6","Gnaphosidae"
"7","Linyphiidae"
"8","Microctenonyx subitaneus"
"9","Asagena"
"10","Ozyptila"
"11","Xysticus"
"12","Zodarion"
"13","Geophilomorpha"
"14","Lithobiomorpha"
"15","Anthicidae"
"16","Carabidae"
"17","Staphylinidae"
"18","Coleoptera"
"19","Collembola"
"20","Dermaptera"
"21","Diplopoda"
"22","Diptera"
"23","Aphidiidae"
"24","Auchenorrhyncha"
"25","Pheidole pallidula"
"26","Solenopsis"
"27","Tetramorium"
"28","Hymenoptera"
"29","Isopoda"
"30","Pauropoda"
"31","Protura"
"32","Pseudoscorpiones"
"33","Psocoptera"
"34","Symphyla"
"35","Thysanoptera"
"36","Pseudosinella sexoculata"
"37","Protaphorura armata"
"38","Cryptopygus thermophilus"
"39","Pseudosinella alba"
"40","Brachystomella parvula"
"41","Mesaphorura sp"
"42","Entomobrya lanuginosa"
"43","Sminthurinus elegans"
"44","Sphaeridia pumilis"
"45","Parisotoma notabilis"
"46","SYMPHYPLEONA"
"47","Neelidae"
"48","Heteromurus major"
"49","Pseudosinella decipiens"
"50","Pseudanorophorus isotoma"
"51","Lepidocyrtus lanuginosus"
"52","Xenylla xavieri"
"53","Pseudosinella octopunctata"
"54","Megalothorax minimus"
"55","Arrhopalites gr.caecus"
"56","Isotoma viridis"
"57","Seira sp"
"58","Isotomurus sp"
"59","Proisotoma minuta"
"60","Tullbergidae"
"61","Sminthurinus aureus"
"62","Hypogastrura manubrialis"
"63","Hypogastrura vernalis"
"64","Neanuridae"
"65","Isotomiella paraminor"
"66","Isotomiella minor"
"67","Sminthurides signatus"
"68","Desoria trispinata"
"69","Sminthurus viridis"
"70","Entomobrya aff.multifasciata"
"71","Isotomodes trisetosus"
"72","Ceratophysella gibbosa"
