"","db","query","kingdom","phylum","class","order","family","genus","species"
"1","itis","Acrobeles","Animalia","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles",NA
"2","ncbi","Acrobeles","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeles",NA
"3","itis","Acrobeloides","Animalia","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides",NA
"4","ncbi","Acrobeloides","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides",NA
"5","itis","Aporcelaimidae",NA,NA,NA,NA,NA,NA,NA
"6","ncbi","Aporcelaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Aporcelaimidae",NA,NA
"7","itis","Aprutides",NA,NA,NA,NA,NA,NA,NA
"8","ncbi","Aprutides","Metazoa","Nematoda","Chromadorea","Rhabditida","Seinuridae","Aprutides",NA
"9","itis","Cervidellus","Animalia","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Cervidellus",NA
"10","ncbi","Cervidellus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Cervidellus",NA
"11","itis","Chiloplacus","Animalia","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Chiloplacus",NA
"12","ncbi","Chiloplacus","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Chiloplacus",NA
"13","itis","Eumonhystera",NA,NA,NA,NA,NA,NA,NA
"14","ncbi","Eumonhystera","Metazoa","Nematoda","Chromadorea","Monhysterida","Monhysteridae","Eumonhystera",NA
"15","itis","Anaplectus","Animalia","Nematoda","Chromadorea","Araeolaimida","Plectidae","Anaplectus",NA
"16","ncbi","Anaplectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Anaplectus",NA
"17","itis","Plectus","Animalia","Nematoda","Chromadorea","Araeolaimida","Plectidae","Plectus",NA
"18","ncbi","Plectus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Plectus",NA
"19","itis","Tylocephalus","Animalia","Nematoda","Chromadorea","Araeolaimida","Plectidae","Tylocephalus",NA
"20","ncbi","Tylocephalus","Metazoa","Nematoda","Chromadorea","Plectida","Plectidae","Tylocephalus",NA
"21","itis","Panagrolaimus","Animalia","Nematoda","Chromadorea","Rhabditida","Pangrolaimidae","Panagrolaimus",NA
"22","ncbi","Panagrolaimus","Metazoa","Nematoda","Chromadorea","Rhabditida","Panagrolaimidae","Panagrolaimus",NA
"23","itis","Rhabditidae","Animalia","Nematoda","Chromadorea","Rhabditida","Rhabditidae",NA,NA
"24","ncbi","Rhabditidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Rhabditidae",NA,NA
"25","itis","Rhabdolaimus","Animalia","Nematoda","Chromadorea","Araeolaimida","Rhabdolaimidae","Rhabdolaimus",NA
"26","ncbi","Rhabdolaimus","Metazoa","Nematoda","Enoplea","Enoplida","Rhabdolaimidae","Rhabdolaimus",NA
"27","itis","Prismatolaimus","Animalia","Nematoda","Enoplea","Enoplida","Prismatolaimidae","Prismatolaimus",NA
"28","ncbi","Prismatolaimus","Metazoa","Nematoda","Enoplea","Triplonchida","Prismatolaimidae","Prismatolaimus",NA
"29","itis","Aphelenchus","Animalia","Nematoda","Chromadorea","Aphelenchida","Aphelenchidae","Aphelenchus",NA
"30","ncbi","Aphelenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchidae","Aphelenchus",NA
"31","itis","Aphelenchoides","Animalia","Nematoda","Chromadorea","Aphelenchida","Aphelenchoididae","Aphelenchoides",NA
"32","ncbi","Aphelenchoides","Metazoa","Nematoda","Chromadorea","Rhabditida","Aphelenchoididae","Aphelenchoides",NA
"33","itis","Diphtherophora","Animalia","Nematoda","Dorylaimea","Dorylaimida","Diphterophoridae","Diphtherophora",NA
"34","ncbi","Diphtherophora","Metazoa","Nematoda","Enoplea","Triplonchida","Diphtherophoridae","Diphtherophora",NA
"35","itis","Mononchus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Mononchidae","Mononchus",NA
"36","ncbi","Mononchus","Metazoa","Nematoda","Enoplea","Mononchida","Mononchidae","Mononchus",NA
"37","itis","Microdorylaimus",NA,NA,NA,NA,NA,NA,NA
"38","ncbi","Microdorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Microdorylaimus",NA
"39","itis","Nygolaimidae","Animalia","Nematoda","Dorylaimea","Dorylaimida","Nygolaimidae",NA,NA
"40","ncbi","Nygolaimidae","Metazoa","Nematoda","Enoplea","Dorylaimida","Nygolaimidae",NA,NA
"41","itis","Discolaimus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Dorylaimidae","Discolaimus",NA
"42","ncbi","Discolaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Discolaimus",NA
"43","itis","Oxydirus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Oxydiridae","Oxydirus",NA
"44","ncbi","Oxydirus","Metazoa","Nematoda","Enoplea","Dorylaimida","Belondiridae","Oxydirus",NA
"45","itis","Eudorylaimus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Dorylaimidae","Eudorylaimus",NA
"46","ncbi","Eudorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Qudsianematidae","Eudorylaimus",NA
"47","itis","Pratylenchus","Animalia","Nematoda","Chromadorea","Tylenchida","Hoplolaimidae","Pratylenchus",NA
"48","ncbi","Pratylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Pratylenchidae","Pratylenchus",NA
"49","itis","Prodorylaimus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Dorylaimidae","Prodorylaimus",NA
"50","ncbi","Prodorylaimus","Metazoa","Nematoda","Enoplea","Dorylaimida","Dorylaimidae","Prodorylaimus",NA
"51","itis","Helicotylenchus","Animalia","Nematoda","Chromadorea","Tylenchida","Hoplolaimidae","Helicotylenchus",NA
"52","ncbi","Helicotylenchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Hoplolaimidae","Helicotylenchus",NA
"53","itis","Trichodorus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Trichodoridae","Trichodorus",NA
"54","ncbi","Trichodorus","Metazoa","Nematoda","Enoplea","Triplonchida","Trichodoridae","Trichodorus",NA
"55","itis","Tylenchorhynchus","Animalia","Nematoda","Chromadorea","Tylenchida","Tylenchorhynchidae","Tylenchorhynchus",NA
"56","ncbi","Tylenchorhynchus","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus",NA
"57","itis","Tylenchidae","Animalia","Nematoda","Chromadorea","Tylenchida","Tylenchidae",NA,NA
"58","ncbi","Tylenchidae","Metazoa","Nematoda","Chromadorea","Rhabditida","Tylenchidae",NA,NA
"59","itis","Mylonchulus","Animalia","Nematoda","Dorylaimea","Dorylaimida","Mononchidae","Mylonchulus",NA
"60","ncbi","Mylonchulus","Metazoa","Nematoda","Enoplea","Mononchida","Mylonchulidae","Mylonchulus",NA
