"","community","landuse_habitat","taxa_level","taxa_name","total_abundance","relative_abundance","assignedwithGratin"
"1","bacteria","AF_C","kingdom","Bacteria",77368,100,FALSE
"2","bacteria","AF_C","phylum","Abditibacteriota",39,0.0533056326285144,FALSE
"3","bacteria","AF_C","phylum","Acidobacteriota",14691,20.0798217678335,FALSE
"4","bacteria","TP_T","phylum","Actinobacteriota",12388,19.1494952930083,FALSE
"5","bacteria","AF_T","phylum","Armatimonadota",116,0.171813671036066,FALSE
"6","bacteria","AF_C","phylum","Bacteroidota",15981,20.6558266983766,FALSE
"7","bacteria","AF_C","phylum","Bdellovibrionota",791,1.10726934221762,FALSE
"8","bacteria","AF_T","phylum","Chloroflexi",4332,5.97896596461203,FALSE
"9","bacteria","AF_C","phylum","Cyanobacteria",4351,6.06546407561268,FALSE
"10","bacteria","MC_C","phylum","Deinococcota",12,0.0189672341030869,FALSE
"11","bacteria","AF_C","phylum","Dependentiae",332,0.53443224622517,FALSE
"12","bacteria","TP_T","phylum","Desulfobacterota",258,0.41773935007529,FALSE
"13","bacteria","AF_T","phylum","Elusimicrobiota",254,0.386082779796015,FALSE
"14","bacteria","TP_T","phylum","Entotheonellaeota",819,1.24564632161706,FALSE
"15","bacteria","TP_T","phylum","FCPU426",71,0.114959278509092,FALSE
"16","bacteria","AF_T","phylum","Fibrobacterota",273,0.399566770095428,FALSE
"17","bacteria","AF_T","phylum","Firmicutes",5764,8.4503738454772,FALSE
"18","bacteria","TP_T","phylum","Fusobacteriota",10,0.0199358067024182,FALSE
"19","bacteria","AF_C","phylum","Gemmatimonadota",3651,4.99022730068477,FALSE
"20","bacteria","MC_C","phylum","Halanaerobiaeota",2,0.00323792254889263,FALSE
"21","bacteria","TP_T","phylum","Hydrogenedentes",7,0.0103481410303792,FALSE
"22","bacteria","AF_T","phylum","Latescibacterota",69,0.0934731366333415,FALSE
"23","bacteria","AF_T","phylum","MBNT15",45,0.0659727312710746,FALSE
"24","bacteria","AF_T","phylum","Margulisbacteria",1,0.00147130224962114,FALSE
"25","bacteria","AF_T","phylum","Methylomirabilota",194,0.276652786492499,FALSE
"26","bacteria","AF_C","phylum","Myxococcota",5147,7.20494981592172,FALSE
"27","bacteria","AF_T","phylum","NB1-j",23,0.0355355046041654,FALSE
"28","bacteria","AF_T","phylum","Nitrospirota",647,0.983447080818982,FALSE
"29","bacteria","AF_T","phylum","Patescibacteria",1732,2.56535584684885,FALSE
"30","bacteria","AF_T","phylum","Planctomycetota",610,0.894297023896789,FALSE
"31","bacteria","AF_C","phylum","Proteobacteria",26607,34.3901871574811,FALSE
"32","bacteria","MC_C","phylum","RCP2-54",375,0.694933471702309,FALSE
"33","bacteria","TP_T","phylum","SAR324 clade(Marine group B)",82,0.112410380139005,FALSE
"34","bacteria","AF_T","phylum","Spirochaetota",17,0.0248814472220596,FALSE
"35","bacteria","MC_C","phylum","Sumerlaeota",78,0.117303816885734,FALSE
"36","bacteria","AF_C","phylum","Verrucomicrobiota",5825,7.96167461695119,FALSE
"37","bacteria","AF_C","phylum","WPS-2",587,0.944914844982454,FALSE
"38","bacteria","AF_T","phylum","WS2",11,0.0161843247458325,FALSE
"39","bacteria","AF_T","phylum","unassigned",164,0.226113332414173,FALSE
"40","bacteria","AF_C","class","ABY1",1,0.00156350161822417,FALSE
"41","bacteria","AF_T","class","AD3",57,0.109964309829266,FALSE
"42","bacteria","TP_T","class","AKAU4049",56,0.0797289216663345,FALSE
"43","bacteria","TP_T","class","AT-s3-28",53,0.0923521929289585,FALSE
"44","bacteria","AF_C","class","Abditibacteria",39,0.0533056326285144,FALSE
"45","bacteria","TP_T","class","Acidimicrobiia",1862,2.87829837226198,FALSE
"46","bacteria","AF_C","class","Acidobacteriae",8171,13.1531502527285,FALSE
"47","bacteria","AF_C","class","Actinobacteria",8184,12.1878211142385,FALSE
"48","bacteria","TP_T","class","Alphaproteobacteria",12683,19.6055092671314,FALSE
"49","bacteria","AF_C","class","Anaerolineae",712,1.11321315217561,FALSE
"50","bacteria","AF_C","class","Armatimonadia",41,0.0659991629374457,FALSE
"51","bacteria","TP_T","class","BD2-11 terrestrial group",40,0.0618324032709341,FALSE
"52","bacteria","AF_T","class","BD7-11",5,0.00733030347456385,FALSE
"53","bacteria","AF_C","class","Babeliae",332,0.53443224622517,FALSE
"54","bacteria","AF_T","class","Bacilli",5610,8.22460049846064,FALSE
"55","bacteria","AF_C","class","Bacteroidia",15797,20.4180022748423,FALSE
"56","bacteria","AF_T","class","Bdellovibrionia",372,0.54537457850755,FALSE
"57","bacteria","AF_T","class","Berkelbacteria",54,0.104176714575094,FALSE
"58","bacteria","AF_C","class","Blastocatellia",5934,8.11065702609242,FALSE
"59","bacteria","TP_T","class","Chlamydiae",65,0.0960898809963781,FALSE
"60","bacteria","AF_T","class","Chlorobia",8,0.0154335873444584,FALSE
"61","bacteria","AF_C","class","Chloroflexia",2328,3.25881545977575,FALSE
"62","bacteria","AF_T","class","Chthonomonadetes",5,0.00740576168258905,FALSE
"63","bacteria","AF_T","class","Clostridia",137,0.200850315203049,FALSE
"64","bacteria","AF_T","class","Coriobacteriia",4,0.00528750826173166,FALSE
"65","bacteria","AF_C","class","Cyanobacteriia",4315,6.01527866841386,FALSE
"66","bacteria","TP_T","class","Dehalococcoidia",187,0.330651578109805,FALSE
"67","bacteria","MC_C","class","Deinococci",12,0.0189672341030869,FALSE
"68","bacteria","TP_T","class","Desulfitobacteriia",3,0.0053746103407503,FALSE
"69","bacteria","TP_T","class","Desulfobaccia",2,0.00401421030447785,FALSE
"70","bacteria","TP_T","class","Desulfobacteria",1,0.00171503052754339,FALSE
"71","bacteria","AF_C","class","Desulfotomaculia",2,0.00295565046477604,FALSE
"72","bacteria","TP_T","class","Desulfuromonadia",84,0.136008160489629,FALSE
"73","bacteria","AF_C","class","Dojkabacteria",5,0.0073882526782416,FALSE
"74","bacteria","AF_T","class","Elusimicrobia",22,0.0334402407697335,FALSE
"75","bacteria","TP_T","class","Entotheonellia",819,1.24564632161706,FALSE
"76","bacteria","TP_T","class","FFCH5909",2,0.00309162016354671,FALSE
"77","bacteria","AF_T","class","Fibrobacteria",273,0.399566770095428,FALSE
"78","bacteria","AF_T","class","Fimbriimonadia",110,0.162926757016959,FALSE
"79","bacteria","TP_T","class","Fusobacteriia",10,0.0199358067024182,FALSE
"80","bacteria","AF_T","class","Gammaproteobacteria",16061,21.230667547918,FALSE
"81","bacteria","AF_C","class","Gemmatimonadetes",3510,4.7975069365663,FALSE
"82","bacteria","TP_T","class","Gitt-GS-136",239,0.422597471487932,FALSE
"83","bacteria","TP_T","class","Gracilibacteria",46,0.0744806593157494,FALSE
"84","bacteria","MC_C","class","Halanaerobiia",2,0.00323792254889263,FALSE
"85","bacteria","AF_T","class","Holophagae",2335,3.45849070576909,FALSE
"86","bacteria","TP_T","class","Hydrogenedentia",7,0.0103481410303792,FALSE
"87","bacteria","AF_T","class","JG30-KF-CM66",224,0.329571703915135,FALSE
"88","bacteria","AF_T","class","KD4-96",906,1.29199703382579,FALSE
"89","bacteria","AF_C","class","Kapabacteria",294,0.401842461353416,FALSE
"90","bacteria","AF_T","class","Kazania",5,0.00772510969655769,FALSE
"91","bacteria","AF_C","class","Kiritimatiellae",1,0.00148922545384146,FALSE
"92","bacteria","AF_T","class","Kryptonia",1,0.00146606069491277,FALSE
"93","bacteria","AF_C","class","Ktedonobacteria",983,1.58237017481729,FALSE
"94","bacteria","TP_T","class","Leptospirae",6,0.00977947288641142,FALSE
"95","bacteria","MC_C","class","Limnochordia",49,0.090804640302435,FALSE
"96","bacteria","AF_T","class","Lineage IIa",144,0.277804572200251,FALSE
"97","bacteria","AF_T","class","Lineage IIb",113,0.171761236680904,FALSE
"98","bacteria","AF_T","class","Lineage IIc",5,0.00713022645599224,FALSE
"99","bacteria","AF_C","class","Longimicrobia",246,0.355969728102797,FALSE
"100","bacteria","TP_T","class","MB-A2-108",775,1.19800281337435,FALSE
"101","bacteria","AF_C","class","Magnetococcia",2,0.00314935831824266,FALSE
"102","bacteria","AF_T","class","Methylomirabilia",194,0.276652786492499,FALSE
"103","bacteria","AF_T","class","Microgenomatia",3,0.00414055814723825,FALSE
"104","bacteria","AF_C","class","Myxococcia",1441,2.12954615987113,FALSE
"105","bacteria","AF_C","class","Negativicutes",10,0.01309157557112,FALSE
"106","bacteria","AF_T","class","Nitrospiria",647,0.983447080818982,FALSE
"107","bacteria","MC_C","class","OLB14",81,0.160234218907638,FALSE
"108","bacteria","TP_T","class","OM190",23,0.0461634185014953,FALSE
"109","bacteria","AF_C","class","Oligoflexia",524,0.733513445413441,FALSE
"110","bacteria","AF_C","class","Omnitrophia",7,0.0097988437364391,FALSE
"111","bacteria","TP_T","class","P2-11E",40,0.0707276102908673,FALSE
"112","bacteria","TP_T","class","Parcubacteria",149,0.241252570392319,FALSE
"113","bacteria","AF_T","class","Phycisphaerae",509,0.7462248937106,FALSE
"114","bacteria","MC_C","class","Pla4 lineage",12,0.0222378710944739,FALSE
"115","bacteria","TP_T","class","Planctomycetes",138,0.204006208884618,FALSE
"116","bacteria","AF_C","class","Polyangia",3611,5.4246912838386,FALSE
"117","bacteria","AF_T","class","Rhodothermia",5,0.00677341569806822,FALSE
"118","bacteria","MC_C","class","Rubrobacteria",1066,1.60315216410503,FALSE
"119","bacteria","MC_C","class","S0134 terrestrial group",221,0.33236081450958,FALSE
"120","bacteria","AF_T","class","SHA-26",10,0.0184094256259205,FALSE
"121","bacteria","AF_T","class","SJA-28",65,0.09529394516933,FALSE
"122","bacteria","AF_T","class","Saccharimonadia",1632,2.41724061319707,FALSE
"123","bacteria","MC_C","class","Sericytochromatia",52,0.0809187389125766,FALSE
"124","bacteria","AF_T","class","Spirochaetia",17,0.0248814472220596,FALSE
"125","bacteria","AF_T","class","Subgroup 11",52,0.0741543551423193,FALSE
"126","bacteria","TP_T","class","Subgroup 18",49,0.0697628064580427,FALSE
"127","bacteria","TP_T","class","Subgroup 20",1,0.00154581008177335,FALSE
"128","bacteria","AF_T","class","Subgroup 22",8,0.0123601755144923,FALSE
"129","bacteria","MC_C","class","Subgroup 25",99,0.160487622999984,FALSE
"130","bacteria","TP_T","class","Subgroup 5",242,0.344542840058088,FALSE
"131","bacteria","MC_C","class","Sumerlaeia",78,0.117303816885734,FALSE
"132","bacteria","MC_C","class","Symbiobacteriia",4,0.00801844241756039,FALSE
"133","bacteria","AF_T","class","TK10",484,0.668010047754437,FALSE
"134","bacteria","AF_C","class","Thermacetogenia",28,0.0450725990792312,FALSE
"135","bacteria","MC_C","class","Thermoanaerobacteria",2,0.00324217420201987,FALSE
"136","bacteria","AF_T","class","Thermoanaerobaculia",775,1.06964418803655,FALSE
"137","bacteria","AF_T","class","Thermoleophilia",3996,5.87932378948607,FALSE
"138","bacteria","AF_T","class","Vampirivibrionia",77,0.114048729911871,FALSE
"139","bacteria","AF_C","class","Verrucomicrobiae",5819,7.95347375039296,FALSE
"140","bacteria","TP_T","class","Vicinamibacteria",5626,8.55678413359899,FALSE
"141","bacteria","TP_T","class","WWE3",39,0.0576539285978269,FALSE
