"","community","landuse_habitat","taxa_level","taxa_name","total_abundance","relative_abundance","assignedwithGratin"
"1","macrofauna_surface","TP_T","kingdom","Metazoa",57,100,FALSE
"2","macrofauna_surface","MC_C","phylum","Arthropoda",55,100,FALSE
"3","macrofauna_surface","TP_T","phylum","Mollusca",4,33.3333333333333,FALSE
"4","macrofauna_surface","AF_T","class","Arachnida",18,38.2978723404255,FALSE
"5","macrofauna_surface","TP_T","class","Chilopoda",1,1.75438596491228,FALSE
"6","macrofauna_surface","TP_T","class","Diplopoda",1,3.03030303030303,FALSE
"7","macrofauna_surface","TP_T","class","Gastropoda",4,33.3333333333333,FALSE
"8","macrofauna_surface","MC_C","class","Insecta",51,92.7272727272727,FALSE
"9","macrofauna_surface","TP_T","class","Malacostraca",13,22.8070175438597,FALSE
"10","macrofauna_surface","AF_T","order","Araneae",18,38.2978723404255,FALSE
"11","macrofauna_surface","TP_T","order","Coleoptera",9,15.7894736842105,FALSE
"12","macrofauna_surface","AF_T","order","Dermaptera",2,16.6666666666667,FALSE
"13","macrofauna_surface","MC_C","order","Diptera",5,22.7272727272727,FALSE
"14","macrofauna_surface","TP_T","order","Geophilomorpha",1,1.75438596491228,FALSE
"15","macrofauna_surface","TP_T","order","Hemiptera",7,21.2121212121212,FALSE
"16","macrofauna_surface","MC_C","order","Hymenoptera",45,81.8181818181818,FALSE
"17","macrofauna_surface","TP_T","order","Isopoda",13,22.8070175438597,FALSE
"18","macrofauna_surface","TP_T","order","Julida",1,3.03030303030303,FALSE
"19","macrofauna_surface","TP_T","order","Lepidoptera",2,16.6666666666667,FALSE
"20","macrofauna_surface","AF_T","order","Opiliones",2,14.2857142857143,FALSE
"21","macrofauna_surface","AF_T","order","Orthoptera",1,5,FALSE
"22","macrofauna_surface","MC_C","order","Psocoptera",1,8.33333333333333,FALSE
"23","macrofauna_surface","TP_T","order","Stylommatophora",1,9.09090909090909,FALSE
"24","macrofauna_surface","AF_T","order","Thysanoptera",3,9.67741935483871,FALSE
"25","macrofauna_surface","TP_T","order","unassigned",4,33.3333333333333,FALSE
"26","macrofauna_surface","TP_T","family","Agriolimacidae",1,9.09090909090909,FALSE
"27","macrofauna_surface","TP_T","family","Anisolabididae",1,1.75438596491228,TRUE
"28","macrofauna_surface","AF_C","family","Anthicidae",1,4.76190476190476,TRUE
"29","macrofauna_surface","MC_C","family","Apidae",3,7.89473684210526,TRUE
