"","community","landuse_habitat","taxa_level","taxa_name","total_abundance","relative_abundance","assignedwithGratin"
"1","micro_arthropodes","AF_T","kingdom","Metazoa",327,100,FALSE
"2","micro_arthropodes","AF_T","phylum","Annelida",2,0.613496932515337,FALSE
"3","micro_arthropodes","AF_T","phylum","Arthropoda",327,100,FALSE
"4","micro_arthropodes","AF_T","class","Arachnida",254,84.3853820598007,FALSE
"5","micro_arthropodes","AF_T","class","Chilopoda",4,3.92156862745098,FALSE
"6","micro_arthropodes","AF_T","class","Clitellata",2,0.613496932515337,FALSE
"7","micro_arthropodes","AF_T","class","Collembola",169,51.840490797546,FALSE
"8","micro_arthropodes","TP_T","class","Diplopoda",1,0.884955752212389,FALSE
"9","micro_arthropodes","AF_T","class","Euchelicerata",1,0.34965034965035,FALSE
"10","micro_arthropodes","AF_T","class","Insecta",38,14.9019607843137,FALSE
"11","micro_arthropodes","TP_T","class","Malacostraca",2,1.76991150442478,FALSE
"12","micro_arthropodes","AF_T","class","Pauropoda",2,1.29032258064516,FALSE
"13","micro_arthropodes","AF_T","class","Protura",1,0.305810397553517,FALSE
"14","micro_arthropodes","AF_T","class","Symphyla",1,0.305810397553517,FALSE
"15","micro_arthropodes","AF_T","order","Araneae",2,0.664451827242525,FALSE
"16","micro_arthropodes","TP_T","order","Coleoptera",13,5.30612244897959,FALSE
"17","micro_arthropodes","AF_T","order","Collembola",128,39.2638036809816,FALSE
"18","micro_arthropodes","AF_T","order","Dermaptera",8,2.7972027972028,FALSE
"19","micro_arthropodes","AF_C","order","Diptera",5,1.81818181818182,FALSE
"20","micro_arthropodes","AF_T","order","Enchytraeida",2,0.613496932515337,FALSE
"21","micro_arthropodes","AF_T","order","Entomobryomorpha",54,19.4945848375451,FALSE
"22","micro_arthropodes","AF_T","order","Geophilomorpha",4,3.92156862745098,FALSE
"23","micro_arthropodes","TP_T","order","Hemiptera",2,0.778210116731518,FALSE
"24","micro_arthropodes","AF_T","order","Hymenoptera",33,12.9411764705882,FALSE
"25","micro_arthropodes","TP_T","order","Isopoda",2,1.76991150442478,FALSE
"26","micro_arthropodes","TP_T","order","Lithobiomorpha",1,0.540540540540541,FALSE
"27","micro_arthropodes","AF_T","order","Mesostigmata",131,40.1840490797546,FALSE
"28","micro_arthropodes","AF_T","order","Neelipleona",3,1.04895104895105,FALSE
"29","micro_arthropodes","AF_T","order","Poduromorpha",84,32.9411764705882,FALSE
"30","micro_arthropodes","AF_T","order","Pseudoscorpiones",1,0.305810397553517,FALSE
"31","micro_arthropodes","TP_T","order","Psocoptera",2,1.92307692307692,FALSE
"32","micro_arthropodes","AF_T","order","Sarcoptiformes",193,64.1196013289037,FALSE
"33","micro_arthropodes","AF_T","order","Symphypleona",8,2.7972027972028,FALSE
"34","micro_arthropodes","TP_T","order","Thysanoptera",5,1.94552529182879,FALSE
"35","micro_arthropodes","AF_C","order","unassigned",217,78.9090909090909,FALSE
"36","micro_arthropodes","AF_T","family","Anthicidae",2,0.613496932515337,TRUE
"37","micro_arthropodes","AF_T","family","Arrhopalitidae",2,0.699300699300699,FALSE
"38","micro_arthropodes","MC_C","family","Brachystomellidae",5,4.34782608695652,TRUE
"39","micro_arthropodes","TP_T","family","Braconidae",13,12.5,TRUE
"40","micro_arthropodes","TP_T","family","Carabidae",1,0.389105058365759,TRUE
"41","micro_arthropodes","AF_T","family","Enchytraeidae",2,0.613496932515337,FALSE
"42","micro_arthropodes","AF_T","family","Entomobryidae",29,9.63455149501661,TRUE
"43","micro_arthropodes","AF_T","family","Formicidae",33,12.9411764705882,TRUE
"44","micro_arthropodes","AF_T","family","Gnaphosidae",1,0.332225913621262,TRUE
"45","micro_arthropodes","AF_T","family","Hypogastruridae",54,39.4160583941606,TRUE
"46","micro_arthropodes","AF_T","family","Isotomidae",132,40.4907975460123,TRUE
"47","micro_arthropodes","TP_T","family","Katiannidae",5,3.04878048780488,TRUE
"48","micro_arthropodes","AF_T","family","Lepidocyrtidae",1,0.305810397553517,FALSE
"49","micro_arthropodes","AF_C","family","Linyphiidae",1,0.854700854700855,TRUE
"50","micro_arthropodes","TP_T","family","Neanuridae",1,0.609756097560976,TRUE
"51","micro_arthropodes","AF_T","family","Neelidae",3,1.04895104895105,TRUE
"52","micro_arthropodes","AF_T","family","Onychiuridae",67,26.2745098039216,TRUE
