"","community","landuse_habitat","taxa_level","taxa_name","total_abundance","relative_abundance","assignedwithGratin"
"1","nematodes","AF_C","kingdom","Metazoa",63118,100,FALSE
"2","nematodes","AF_C","phylum","Nematoda",63118,100,FALSE
"3","nematodes","AF_C","class","Chromadorea",62617,99.2062486137077,FALSE
"4","nematodes","MC_C","class","Enoplea",1944,3.43183984747378,FALSE
"5","nematodes","TP_T","order","Dorylaimida",355,3.20079343611938,FALSE
"6","nematodes","AF_C","order","Monhysterida",331,0.584382337882453,FALSE
"7","nematodes","AF_T","order","Mononchida",87,1.15768463073852,FALSE
"8","nematodes","TP_T","order","Plectida",498,4.49012713010549,FALSE
"9","nematodes","AF_C","order","Rhabditida",62617,99.2062486137077,FALSE
"10","nematodes","MC_C","order","Triplonchida",1944,3.43183984747378,FALSE
"11","nematodes","AF_C","family","Aphelenchidae",11521,18.2531132165151,TRUE
"12","nematodes","AF_C","family","Aphelenchoididae",8015,12.6984378465731,TRUE
"13","nematodes","TP_T","family","Aporcelaimidae",255,2.47789330482946,TRUE
"14","nematodes","AF_T","family","Cephalobidae",3540,23.4857029124925,TRUE
"15","nematodes","TP_T","family","Diphtherophoridae",66,0.722812397327784,TRUE
"16","nematodes","AF_T","family","Dorylaimidae",228,1.51263849266901,TRUE
"17","nematodes","TP_T","family","Hoplolaimidae",340,3.30385773977262,TRUE
"18","nematodes","AF_C","family","Monhysteridae",331,0.584382337882453,TRUE
"19","nematodes","AF_T","family","Mononchidae",87,1.15768463073852,TRUE
"20","nematodes","AF_T","family","Nygolaimidae",114,0.756319246334505,TRUE
"21","nematodes","AF_C","family","Panagrolaimidae",41737,73.686905245317,TRUE
"22","nematodes","TP_T","family","Plectidae",498,4.49012713010549,TRUE
"23","nematodes","AF_C","family","Pratylenchidae",501,0.793751386292341,TRUE
"24","nematodes","MC_C","family","Prismatolaimidae",1944,3.43183984747378,TRUE
"25","nematodes","AF_T","family","Qudsianematidae",144,3.70656370656371,TRUE
"26","nematodes","AF_C","family","Rhabditidae",1002,1.58750277258468,TRUE
"27","nematodes","AF_T","family","Seinuridae",261,3.47305389221557,TRUE
"28","nematodes","TP_T","family","Telotylenchidae",3547,38.8456905048735,FALSE
"29","nematodes","AF_C","family","Tylenchidae",9518,15.0796920054501,TRUE
"30","nematodes","AF_T","genus","Acrobeles",685,4.54454985736084,TRUE
"31","nematodes","MC_C","genus","Acrobeloides",2438,10.1710471422612,TRUE
"32","nematodes","AF_T","genus","Anaplectus",86,2.21364221364221,TRUE
"33","nematodes","AF_C","genus","Aphelenchoides",8015,12.6984378465731,TRUE
"34","nematodes","AF_C","genus","Aphelenchus",11521,18.2531132165151,TRUE
"35","nematodes","AF_T","genus","Aprutides",261,3.47305389221557,TRUE
"36","nematodes","AF_T","genus","Cervidellus",685,4.54454985736084,TRUE
"37","nematodes","AF_C","genus","Chiloplacus",1909,4.22616280356866,FALSE
"38","nematodes","TP_T","genus","Diphtherophora",66,0.722812397327784,TRUE
"39","nematodes","AF_T","genus","Discolaimus",144,3.70656370656371,TRUE
"40","nematodes","TP_T","genus","Eudorylaimus",71,0.640158687223875,FALSE
"41","nematodes","AF_C","genus","Eumonhystera",331,0.584382337882453,TRUE
"42","nematodes","TP_T","genus","Helicotylenchus",340,3.30385773977262,TRUE
"43","nematodes","TP_T","genus","Microdorylaimus",66,0.722812397327784,TRUE
"44","nematodes","AF_T","genus","Mononchus",87,1.15768463073852,TRUE
"45","nematodes","AF_C","genus","Panagrolaimus",41737,73.686905245317,TRUE
"46","nematodes","TP_T","genus","Plectus",356,3.20980975565774,TRUE
"47","nematodes","AF_C","genus","Pratylenchus",501,0.793751386292341,TRUE
"48","nematodes","MC_C","genus","Prismatolaimus",1944,3.43183984747378,TRUE
"49","nematodes","AF_T","genus","Prodorylaimus",228,1.51263849266901,TRUE
"50","nematodes","TP_T","genus","Tylenchorhynchus",3547,38.8456905048735,FALSE
"51","nematodes","TP_T","genus","Tylocephalus",142,1.28031737444775,FALSE
"52","nematodes","AF_C","genus","unassigned",10520,16.6671947780348,FALSE
"53","nematodes","AF_C","species","unassigned",63118,100,FALSE
