"","community","landuse_habitat","taxa_level","taxa_name","total_abundance","relative_abundance","assignedwithGratin"
"1","protists","AF_T","kingdom","Eukaryota",29230,100,FALSE
"2","protists","MC_C","phylum","Annelida",1,0.00425459496255956,FALSE
"3","protists","TP_T","phylum","Arthropoda",6,0.0306388193841597,FALSE
"4","protists","AF_T","phylum","Cercozoa",29222,99.9726308587068,FALSE
"5","protists","AF_T","phylum","Chytridiomycota",4,0.0151848758636398,FALSE
"6","protists","TP_T","phylum","Cryptomycota",7,0.031380284215717,FALSE
"7","protists","TP_T","phylum","Nematozoa",15,0.0678272665611576,FALSE
"8","protists","AF_T","phylum","Phragmoplastophyta",2,0.00751145496882746,FALSE
"9","protists","AF_C","phylum","unassigned",12,0.0501672240802676,FALSE
"10","protists","AF_T","class","Cercomonadidae",5227,21.2108915310636,FALSE
"11","protists","AF_T","class","Chromadorea",11,0.0490896108532667,FALSE
"12","protists","AF_T","class","Chytridiomycetes",4,0.0151848758636398,FALSE
"13","protists","TP_T","class","Ellipura",6,0.0306388193841597,FALSE
"14","protists","AF_T","class","Embryophyta",2,0.00751145496882746,FALSE
"15","protists","TP_T","class","Enoplea",9,0.0406963599366945,FALSE
"16","protists","MC_C","class","Glissomonadida",9118,37.8748857688793,FALSE
"17","protists","AF_C","class","Granofilosea",27,0.104174704838336,FALSE
"18","protists","AF_T","class","Imbricatea",8586,34.9592833876222,FALSE
"19","protists","AF_C","class","Novel Clade 10",28,0.102669404517454,FALSE
"20","protists","AF_C","class","Novel Clade 12",67,0.277605137766729,FALSE
"21","protists","AF_C","class","Novel Clade 2",156,0.601898294621499,FALSE
"22","protists","AF_T","class","Novel Clade 4",130,0.484514181357385,FALSE
"23","protists","AF_T","class","Novel Clade Gran-3",83,0.31172538120634,FALSE
"24","protists","TP_T","class","Novel Clade Gran-4",4,0.0203107545445313,FALSE
"25","protists","AF_C","class","Novel Clade Gran-5",97,0.339861952979924,FALSE
"26","protists","AF_T","class","Novel Clade Gran-6",249,0.851864522750599,FALSE
"27","protists","TP_T","class","Phytomyxea",8477,43.043566568498,FALSE
"28","protists","MC_C","class","Polychaeta",1,0.00425459496255956,FALSE
"29","protists","MC_C","class","Thecofilosea",12968,50.6582288370639,FALSE
"30","protists","AF_T","class","Trebouxiophyceae",2,0.00684228532329798,FALSE
"31","protists","AF_T","class","Vampyrellidae",2425,9.03805299839738,FALSE
"32","protists","AF_T","class","unassigned",4793,18.001201832795,FALSE
"33","protists","AF_T","order","Araeolaimida",9,0.0401642270617637,FALSE
"34","protists","AF_T","order","Basal Group T",111,0.416885750769924,FALSE
"35","protists","TP_T","order","Collembola",6,0.0306388193841597,FALSE
"36","protists","AF_C","order","Cryomonadida",4534,17.4183634268152,FALSE
"37","protists","MC_C","order","Diplogasterida",1,0.00394695295232081,FALSE
"38","protists","AF_T","order","Ebriacea",13,0.0444748546014369,FALSE
"39","protists","MC_C","order","Golfingiida",1,0.00425459496255956,FALSE
"40","protists","AF_C","order","Marimonadida",107,0.434676633084173,FALSE
"41","protists","AF_C","order","Novel Clade 3",55,0.208570345089116,FALSE
"42","protists","AF_C","order","Phaeosphaerida",2,0.00917178758139961,FALSE
"43","protists","MC_C","order","Rhabditida",4,0.0198019801980198,FALSE
"44","protists","AF_T","order","Spizellomycetales",4,0.0151848758636398,FALSE
"45","protists","AF_T","order","Spongomonadida",1047,3.77365291043431,FALSE
"46","protists","TP_T","order","Triplonchida",9,0.0406963599366945,FALSE
"47","protists","AF_T","order","Tylenchida",7,0.0265735327613697,FALSE
"48","protists","AF_T","order","unassigned",27907,97.8300497791489,FALSE
"49","protists","AF_T","family","Apusomonadidae",4,0.0260010400416017,TRUE
"50","protists","AF_T","family","Euglyphida",7431,30.2565146579805,TRUE
"51","protists","AF_T","family","Powellomycetaceae",4,0.0151848758636398,TRUE
"52","protists","AF_T","family","Protaspidae",31,0.10867278973568,TRUE
"53","protists","AF_C","family","Rhizaspididae",4529,17.39915482136,FALSE
"54","protists","AF_C","family","Thaumatomonadida",3402,12.4743326488706,TRUE
"55","protists","AF_T","family","unassigned",23700,81.0810810810811,FALSE
"56","protists","MC_C","genus","Allantion",176,0.789379260853965,FALSE
"57","protists","AF_T","genus","Amastigomonas",4,0.0260010400416017,FALSE
"58","protists","AF_C","genus","Aulosphaera",2,0.00917178758139961,FALSE
"59","protists","AF_T","genus","Bodomorpha",76,0.494019760790432,FALSE
"60","protists","AF_C","genus","Cavernomonas",60,0.231499344085192,FALSE
"61","protists","AF_T","genus","Cercomonas",2655,9.89527039618352,FALSE
"62","protists","AF_T","genus","Cyranomonas",20,0.0745406432857516,FALSE
"63","protists","TP_T","genus","D2P04A09",1,0.00417955362367299,FALSE
"64","protists","AF_T","genus","Ebria",13,0.0444748546014369,FALSE
"65","protists","AF_T","genus","Eocercomonas",271,0.950010516721587,FALSE
"66","protists","AF_T","genus","Euglypha",1485,5.2057771857253,TRUE
"67","protists","AF_T","genus","Geranomyces",4,0.0151848758636398,TRUE
"68","protists","AF_C","genus","Gymnophrys",663,2.32297396727515,FALSE
"69","protists","TP_T","genus","Gyromitus",1587,8.39016653449643,FALSE
"70","protists","MC_C","genus","Heteromita",7938,32.9733322256376,FALSE
"71","protists","AF_T","genus","Kraken",1870,7.58836180659822,FALSE
"72","protists","MC_C","genus","Lecythium",165,0.685386724266844,FALSE
"73","protists","AF_T","genus","Leptophrys",3,0.0111810964928627,FALSE
"74","protists","AF_C","genus","Massisteria",27,0.104174704838336,FALSE
